tag,mode,route,Z,A,threads,check,status,detail
v11.4.2,enabled,bound_decay,47,107,1,target,PASS,"material=['1', '1', '47', '107', '0x1p+0'] expected=(1, 1, 47, 107, 1.0)"
v11.4.2,enabled,bound_decay,47,107,1,particles,PASS,particle table
v11.4.2,enabled,bound_decay,47,107,1,config,PASS,"config=['mizuno2025', 'mudirac130', 'set', '0.5.1'] expected=['mizuno2025', 'mudirac130', 'set', '0.5.1']"
v11.4.2,enabled,bound_decay,47,107,1,lookups,PASS,"rate zeff kshell checked for 47,107"
v11.4.2,enabled,bound_decay,47,107,1,levels,PASS,levels=table:7 formula:6
v11.4.2,enabled,bound_decay,47,107,1,d9,PASS,transitions table=2826 mixed=1000 formula=1279
v11.4.2,enabled,bound_decay,47,107,1,parity,PASS,digest=62474280c24f992614437a7c3cc0e6ec63416a0fc1f3554f04fff02bd9fb88bc reference=62474280c24f992614437a7c3cc0e6ec63416a0fc1f3554f04fff02bd9fb88bc
v11.4.2,enabled,bound_decay,47,107,1,threads,PASS,one-thread reference
v11.4.2,enabled,bound_decay,47,107,4,events,PASS,events=1000
v11.4.2,enabled,bound_decay,47,107,4,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.4.2,enabled,bound_decay,47,107,4,target,PASS,"material=['1', '1', '47', '107', '0x1p+0'] expected=(1, 1, 47, 107, 1.0)"
v11.4.2,enabled,bound_decay,47,107,4,particles,PASS,particle table
v11.4.2,enabled,bound_decay,47,107,4,config,PASS,"config=['mizuno2025', 'mudirac130', 'set', '0.5.1'] expected=['mizuno2025', 'mudirac130', 'set', '0.5.1']"
v11.4.2,enabled,bound_decay,47,107,4,lookups,PASS,"rate zeff kshell checked for 47,107"
