run,Z,A,kind,level,line,delta_e_eV,w12_per_s
He6_grid2,2,6,grid,2,Q12-R14,52.829067,1196852474.951390
He6_grid2,2,6,grid,2,Q13-R14,52.828903,13298268.222623
He6_grid2,2,6,grid,2,Q13-R15,52.828985,1210147995.458927
Li6_rminus,3,6,rminus,0,K1-L2,18671.270924,10330157888171.667969
Li6_rminus,3,6,rminus,0,K1-L3,18672.017500,10329256115908.521484
Li6_rminus,3,6,rminus,0,L2-M4,3454.202610,886841857672.693237
Li6_rminus,3,6,rminus,0,L3-M4,3453.456034,177324708360.801544
Li6_rminus,3,6,rminus,0,L3-M5,3453.529593,1063984243465.751221
Li6_rminus,3,6,rminus,0,M4-N6,1208.180515,211684459074.040314
Li6_rminus,3,6,rminus,0,M5-N6,1208.106955,15118931396.680691
Li6_rminus,3,6,rminus,0,M5-N7,1208.122463,226790966559.450928
Li6_rminus,3,6,rminus,0,N6-O8,559.156271,67472597511.924316
Li6_rminus,3,6,rminus,0,N7-O8,559.140764,2498860932.000221
Li6_rminus,3,6,rminus,0,N7-O9,559.145525,69969736900.672821
Li6_rminus,3,6,rminus,0,O8-P10,303.732910,26452070245.072144
Li6_rminus,3,6,rminus,0,O9-P10,303.728148,601164513.415202
Li6_rminus,3,6,rminus,0,O9-P11,303.729985,27052882713.779816
Li6_rminus,3,6,rminus,0,P10-Q12,183.140083,11999219697.841623
Li6_rminus,3,6,rminus,0,P11-Q12,183.138247,184599339.031995
Li6_rminus,3,6,rminus,0,P11-Q13,183.139074,12183723598.664125
Li6_rminus,3,6,rminus,0,Q12-R14,118.864538,6059013701.145927
Li6_rminus,3,6,rminus,0,Q13-R14,118.863711,67321281.938209
Li6_rminus,3,6,rminus,0,Q13-R15,118.864127,6126304734.845560
Li6_grid0,3,6,grid,0,K1-L2,18670.449929,10329826817014.390625
Li6_grid0,3,6,grid,0,K1-L3,18671.196496,10328925222507.062500
Li6_grid0,3,6,grid,0,L2-M4,3454.203182,886842014311.708618
Li6_grid0,3,6,grid,0,L3-M4,3453.456615,177324750997.193481
Li6_grid0,3,6,grid,0,L3-M5,3453.530175,1063984499271.688965
Li6_grid0,3,6,grid,0,M4-N6,1208.180551,211684458973.187500
Li6_grid0,3,6,grid,0,M5-N6,1208.106992,15118931389.506525
Li6_grid0,3,6,grid,0,M5-N7,1208.122500,226790987312.503815
Li6_grid0,3,6,grid,0,N6-O8,559.156271,67472596718.197762
Li6_grid0,3,6,grid,0,N7-O8,559.140763,2498860902.540707
Li6_grid0,3,6,grid,0,N7-O9,559.145526,69969736887.204773
Li6_grid0,3,6,grid,0,O8-P10,303.732912,26452070234.331356
Li6_grid0,3,6,grid,0,O9-P10,303.728148,601164513.409992
Li6_grid0,3,6,grid,0,O9-P11,303.729985,27052882713.698277
Li6_grid0,3,6,grid,0,P10-Q12,183.140083,11999219697.841923
Li6_grid0,3,6,grid,0,P11-Q12,183.138247,184599339.032002
Li6_grid0,3,6,grid,0,P11-Q13,183.139074,12183723598.664280
Li6_grid0,3,6,grid,0,Q12-R14,118.864538,6059013701.145967
Li6_grid0,3,6,grid,0,Q13-R14,118.863711,67321281.938210
Li6_grid0,3,6,grid,0,Q13-R15,118.864127,6126304734.845585
Li6_grid1,3,6,grid,1,K1-L2,18670.472843,10329842561424.433594
Li6_grid1,3,6,grid,1,K1-L3,18671.219412,10328940003637.792969
Li6_grid1,3,6,grid,1,L2-M4,3454.204320,886842395223.797607
Li6_grid1,3,6,grid,1,L3-M4,3453.457752,177324838443.688354
Li6_grid1,3,6,grid,1,L3-M5,3453.531311,1063984887245.908936
Li6_grid1,3,6,grid,1,M4-N6,1208.180649,211684484748.638947
Li6_grid1,3,6,grid,1,M5-N6,1208.107089,15118934967.398664
Li6_grid1,3,6,grid,1,M5-N7,1208.122597,226791001996.645508
Li6_grid1,3,6,grid,1,N6-O8,559.156279,67472597021.299805
Li6_grid1,3,6,grid,1,N7-O8,559.140771,2498861397.315309
Li6_grid1,3,6,grid,1,N7-O9,559.145534,69969734825.768448
Li6_grid1,3,6,grid,1,O8-P10,303.732911,26452069261.825516
Li6_grid1,3,6,grid,1,O9-P10,303.728147,601164491.629405
Li6_grid1,3,6,grid,1,O9-P11,303.729985,27052882188.356071
Li6_grid1,3,6,grid,1,P10-Q12,183.140086,11999219713.755457
Li6_grid1,3,6,grid,1,P11-Q12,183.138248,184599339.589061
Li6_grid1,3,6,grid,1,P11-Q13,183.139075,12183723583.912102
Li6_grid1,3,6,grid,1,Q12-R14,118.864538,6059013748.340092
Li6_grid1,3,6,grid,1,Q13-R14,118.863711,67321285.012706
Li6_grid1,3,6,grid,1,Q13-R15,118.864127,6126304706.520594
Li6_grid2,3,6,grid,2,K1-L2,18670.479896,10329847717909.869141
Li6_grid2,3,6,grid,2,K1-L3,18671.226465,10328944994581.466797
Li6_grid2,3,6,grid,2,L2-M4,3454.204721,886842543981.192261
Li6_grid2,3,6,grid,2,L3-M4,3453.458152,177324856720.786652
Li6_grid2,3,6,grid,2,L3-M5,3453.531711,1063985065995.278564
Li6_grid2,3,6,grid,2,M4-N6,1208.180684,211684485815.499084
Li6_grid2,3,6,grid,2,M5-N6,1208.107124,15118935038.716263
Li6_grid2,3,6,grid,2,M5-N7,1208.122632,226791003290.146973
Li6_grid2,3,6,grid,2,N6-O8,559.156281,67472597030.495651
Li6_grid2,3,6,grid,2,N7-O8,559.140774,2498861396.978218
Li6_grid2,3,6,grid,2,N7-O9,559.145537,69969734790.947174
Li6_grid2,3,6,grid,2,O8-P10,303.732911,26452069312.117107
Li6_grid2,3,6,grid,2,O9-P10,303.728148,601164514.246102
Li6_grid2,3,6,grid,2,O9-P11,303.729985,27052881954.683346
Li6_grid2,3,6,grid,2,P10-Q12,183.140086,11999219733.182369
Li6_grid2,3,6,grid,2,P11-Q12,183.138248,184599339.857760
Li6_grid2,3,6,grid,2,P11-Q13,183.139075,12183723542.173466
Li6_grid2,3,6,grid,2,Q12-R14,118.864538,6059013785.521979
Li6_grid2,3,6,grid,2,Q13-R14,118.863711,67321286.607182
Li6_grid2,3,6,grid,2,Q13-R15,118.864127,6126304690.855968
Li6_grid3,3,6,grid,3,M4-N6,1208.180697,211684487316.522705
Li7_rminus,3,7,rminus,0,K1-L2,18723.715171,10358774403888.134766
Li7_rminus,3,7,rminus,0,K1-L3,18724.463764,10357869478993.595703
Li7_rminus,3,7,rminus,0,L2-M4,3463.353566,889191791841.621094
Li7_rminus,3,7,rminus,0,L3-M4,3462.604973,177794578800.112732
Li7_rminus,3,7,rminus,0,L3-M5,3462.678727,1066803501137.993652
Li7_rminus,3,7,rminus,0,M4-N6,1211.379500,212244960569.608093
Li7_rminus,3,7,rminus,0,M5-N6,1211.305746,15158964592.214485
Li7_rminus,3,7,rminus,0,M5-N7,1211.321295,227391496190.353302
Li7_rminus,3,7,rminus,0,N6-O8,560.636580,67651225682.845734
Li7_rminus,3,7,rminus,0,N7-O8,560.621031,2505476645.512020
Li7_rminus,3,7,rminus,0,N7-O9,560.625807,70154980432.688095
Li7_rminus,3,7,rminus,0,O8-P10,304.536993,26522098284.495941
Li7_rminus,3,7,rminus,0,O9-P10,304.532217,602755979.887169
Li7_rminus,3,7,rminus,0,O9-P11,304.534058,27124499526.769737
Li7_rminus,3,7,rminus,0,P10-Q12,183.624914,12030984995.480770
Li7_rminus,3,7,rminus,0,P11-Q12,183.623073,185088030.120809
Li7_rminus,3,7,rminus,0,P11-Q13,183.623902,12215977509.043411
Li7_rminus,3,7,rminus,0,Q12-R14,119.179211,6075054308.963778
Li7_rminus,3,7,rminus,0,Q13-R14,119.178382,67499501.385004
Li7_rminus,3,7,rminus,0,Q13-R15,119.178798,6142522825.502940
Li7_grid0,3,7,grid,0,K1-L2,18722.869350,10358432850359.693359
Li7_grid0,3,7,grid,0,K1-L3,18723.617933,10357529092196.113281
Li7_grid0,3,7,grid,0,L2-M4,3463.354249,889191956897.308105
Li7_grid0,3,7,grid,0,L3-M4,3462.605665,177794634529.591064
Li7_grid0,3,7,grid,0,L3-M5,3462.679420,1066803835492.598389
Li7_grid0,3,7,grid,0,M4-N6,1211.379544,212244979935.872711
Li7_grid0,3,7,grid,0,M5-N6,1211.305789,15158964584.788359
Li7_grid0,3,7,grid,0,M5-N7,1211.321338,227391496078.793182
Li7_grid0,3,7,grid,0,N6-O8,560.636581,67651225668.672310
Li7_grid0,3,7,grid,0,N7-O8,560.621032,2505476644.992459
Li7_grid0,3,7,grid,0,N7-O9,560.625808,70154980417.956436
Li7_grid0,3,7,grid,0,O8-P10,304.536993,26522098284.386948
Li7_grid0,3,7,grid,0,O9-P10,304.532217,602755979.882570
Li7_grid0,3,7,grid,0,O9-P11,304.534058,27124499526.679424
Li7_grid0,3,7,grid,0,P10-Q12,183.624914,12030984995.481089
Li7_grid0,3,7,grid,0,P11-Q12,183.623073,185088030.120823
Li7_grid0,3,7,grid,0,P11-Q13,183.623902,12215977509.043600
Li7_grid0,3,7,grid,0,Q12-R14,119.179211,6075054308.963799
Li7_grid0,3,7,grid,0,Q13-R14,119.178382,67499501.385005
Li7_grid0,3,7,grid,0,Q13-R15,119.178798,6142522825.502985
Li7_grid1,3,7,grid,1,K1-L2,18722.892396,10358448569596.042969
Li7_grid1,3,7,grid,1,K1-L3,18723.640981,10357543848163.832031
Li7_grid1,3,7,grid,1,L2-M4,3463.355399,889192404297.094116
Li7_grid1,3,7,grid,1,L3-M4,3462.606815,177794712447.506104
Li7_grid1,3,7,grid,1,L3-M5,3462.680569,1066804234771.918335
Li7_grid1,3,7,grid,1,M4-N6,1211.379650,212245006058.972412
Li7_grid1,3,7,grid,1,M5-N6,1211.305895,15158968192.089527
Li7_grid1,3,7,grid,1,M5-N7,1211.321444,227391511238.527466
Li7_grid1,3,7,grid,1,N6-O8,560.636590,67651225960.895882
Li7_grid1,3,7,grid,1,N7-O8,560.621041,2505476891.666751
Li7_grid1,3,7,grid,1,N7-O9,560.625817,70154978337.898453
Li7_grid1,3,7,grid,1,O8-P10,304.536992,26522097286.882072
Li7_grid1,3,7,grid,1,O9-P10,304.532216,602755957.523168
Li7_grid1,3,7,grid,1,O9-P11,304.534058,27124498985.998692
Li7_grid1,3,7,grid,1,P10-Q12,183.624916,12030985920.854666
Li7_grid1,3,7,grid,1,P11-Q12,183.623074,185088030.661549
Li7_grid1,3,7,grid,1,P11-Q13,183.623903,12215978418.079868
Li7_grid1,3,7,grid,1,Q12-R14,119.179211,6075054356.278634
Li7_grid1,3,7,grid,1,Q13-R14,119.178382,67499504.466798
Li7_grid1,3,7,grid,1,Q13-R15,119.178798,6142522797.120499
Li7_grid2,3,7,grid,2,K1-L2,18722.899493,10358454723846.039062
Li7_grid2,3,7,grid,2,K1-L3,18723.648078,10357547865803.833984
Li7_grid2,3,7,grid,2,L2-M4,3463.355801,889192551490.216675
Li7_grid2,3,7,grid,2,L3-M4,3462.607216,177794741824.341003
Li7_grid2,3,7,grid,2,L3-M5,3462.680970,1066804411644.944336
Li7_grid2,3,7,grid,2,M4-N6,1211.379684,212245007066.901520
Li7_grid2,3,7,grid,2,M5-N6,1211.305929,15158968259.188360
Li7_grid2,3,7,grid,2,M5-N7,1211.321478,227391512344.245392
Li7_grid2,3,7,grid,2,N6-O8,560.636592,67651225972.235268
Li7_grid2,3,7,grid,2,N7-O8,560.621043,2505476891.378423
Li7_grid2,3,7,grid,2,N7-O9,560.625819,70154978298.469833
Li7_grid2,3,7,grid,2,O8-P10,304.536992,26522097337.579857
Li7_grid2,3,7,grid,2,O9-P10,304.532216,602755980.202045
Li7_grid2,3,7,grid,2,O9-P11,304.534058,27124498751.906097
Li7_grid2,3,7,grid,2,P10-Q12,183.624917,12030985940.304119
Li7_grid2,3,7,grid,2,P11-Q12,183.623074,185088030.930637
Li7_grid2,3,7,grid,2,P11-Q13,183.623903,12215978376.346251
Li7_grid2,3,7,grid,2,Q12-R14,119.179211,6075054390.741342
Li7_grid2,3,7,grid,2,Q13-R14,119.178382,67499506.033858
Li7_grid2,3,7,grid,2,Q13-R15,119.178798,6142522781.425011
Li8_rminus,3,8,rminus,0,K1-L2,18763.268581,10380379102951.816406
Li8_rminus,3,8,rminus,0,K1-L3,18764.018699,10379473049541.791016
Li8_rminus,3,8,rminus,0,L2-M4,3470.285239,890971825707.453491
Li8_rminus,3,8,rminus,0,L3-M4,3469.535121,178150495298.808075
Li8_rminus,3,8,rminus,0,L3-M5,3469.609023,1068939095165.159058
Li8_rminus,3,8,rminus,0,M4-N6,1213.802696,212669548029.401794
Li8_rminus,3,8,rminus,0,M5-N6,1213.728794,15189288550.990311
Li8_rminus,3,8,rminus,0,M5-N7,1213.744374,227846384651.400330
Li8_rminus,3,8,rminus,0,N6-O8,561.757898,67786526680.835403
Li8_rminus,3,8,rminus,0,N7-O8,561.742318,2510487684.058925
Li8_rminus,3,8,rminus,0,N7-O9,561.747103,70295291593.026215
Li8_rminus,3,8,rminus,0,O8-P10,305.146073,26575145042.429691
Li8_rminus,3,8,rminus,0,O9-P10,305.141288,603961513.964715
Li8_rminus,3,8,rminus,0,O9-P11,305.143134,27178749738.815540
Li8_rminus,3,8,rminus,0,P10-Q12,183.992168,12055047638.667658
Li8_rminus,3,8,rminus,0,P11-Q12,183.990322,185458206.512909
Li8_rminus,3,8,rminus,0,P11-Q13,183.991153,12240410301.047453
Li8_rminus,3,8,rminus,0,Q12-R14,119.417571,6087203902.986070
Li8_rminus,3,8,rminus,0,Q13-R14,119.416741,67634503.483263
Li8_rminus,3,8,rminus,0,Q13-R15,119.417158,6154807394.546767
Li8_grid0,3,8,grid,0,K1-L2,18762.409983,10380034085046.285156
Li8_grid0,3,8,grid,0,K1-L3,18763.160092,10379127234139.068359
Li8_grid0,3,8,grid,0,L2-M4,3470.286021,890972055230.549316
Li8_grid0,3,8,grid,0,L3-M4,3469.535913,178150552507.895081
Li8_grid0,3,8,grid,0,L3-M5,3469.609815,1068939369924.975708
Li8_grid0,3,8,grid,0,M4-N6,1213.802746,212669547904.557678
Li8_grid0,3,8,grid,0,M5-N6,1213.728844,15189288542.114452
Li8_grid0,3,8,grid,0,M5-N7,1213.744424,227846384518.104889
Li8_grid0,3,8,grid,0,N6-O8,561.757899,67786526665.695396
Li8_grid0,3,8,grid,0,N7-O8,561.742319,2510487683.497068
Li8_grid0,3,8,grid,0,N7-O9,561.747104,70295291577.345642
Li8_grid0,3,8,grid,0,O8-P10,305.146073,26575145042.318836
Li8_grid0,3,8,grid,0,O9-P10,305.141288,603961513.960656
Li8_grid0,3,8,grid,0,O9-P11,305.143134,27178749738.717449
Li8_grid0,3,8,grid,0,P10-Q12,183.992168,12055047638.668013
Li8_grid0,3,8,grid,0,P11-Q12,183.990322,185458206.512930
Li8_grid0,3,8,grid,0,P11-Q13,183.991153,12240410301.047607
Li8_grid0,3,8,grid,0,Q12-R14,119.417571,6087203902.986063
Li8_grid0,3,8,grid,0,Q13-R14,119.416741,67634503.483263
Li8_grid0,3,8,grid,0,Q13-R15,119.417158,6154807394.546783
Li8_grid1,3,8,grid,1,K1-L2,18762.433153,10380049838147.763672
Li8_grid1,3,8,grid,1,K1-L3,18763.183263,10379143007320.330078
Li8_grid1,3,8,grid,1,L2-M4,3470.287171,890972439021.795166
Li8_grid1,3,8,grid,1,L3-M4,3469.537062,178150640529.271057
Li8_grid1,3,8,grid,1,L3-M5,3469.610964,1068939898312.014771
Li8_grid1,3,8,grid,1,M4-N6,1213.802846,212669573664.563446
Li8_grid1,3,8,grid,1,M5-N6,1213.728944,15189292126.930222
Li8_grid1,3,8,grid,1,M5-N7,1213.744524,227846378526.573914
Li8_grid1,3,8,grid,1,N6-O8,561.757907,67786533661.556335
Li8_grid1,3,8,grid,1,N7-O8,561.742327,2510487930.560814
Li8_grid1,3,8,grid,1,N7-O9,561.747113,70295296436.165344
Li8_grid1,3,8,grid,1,O8-P10,305.146073,26575144569.094254
Li8_grid1,3,8,grid,1,O9-P10,305.141288,603961503.539287
Li8_grid1,3,8,grid,1,O9-P11,305.143134,27178749187.883644
Li8_grid1,3,8,grid,1,P10-Q12,183.992170,12055047671.335201
Li8_grid1,3,8,grid,1,P11-Q12,183.990324,185458207.042663
Li8_grid1,3,8,grid,1,P11-Q13,183.991154,12240410285.704700
Li8_grid1,3,8,grid,1,Q12-R14,119.417571,6087203950.391372
Li8_grid1,3,8,grid,1,Q13-R14,119.416741,67634506.570665
Li8_grid1,3,8,grid,1,Q13-R15,119.417158,6154807366.106911
Li8_grid2,3,8,grid,2,K1-L2,18762.440272,10380055977131.703125
Li8_grid2,3,8,grid,2,K1-L3,18763.190382,10379147006413.283203
Li8_grid2,3,8,grid,2,L2-M4,3470.287579,890972591675.614380
Li8_grid2,3,8,grid,2,L3-M4,3469.537469,178150659585.027313
Li8_grid2,3,8,grid,2,L3-M5,3469.611371,1068940081735.848511
Li8_grid2,3,8,grid,2,M4-N6,1213.802885,212669575009.667480
Li8_grid2,3,8,grid,2,M5-N6,1213.728983,15189292218.103703
Li8_grid2,3,8,grid,2,M5-N7,1213.744563,227846400729.696686
Li8_grid2,3,8,grid,2,N6-O8,561.757910,67786533675.549683
Li8_grid2,3,8,grid,2,N7-O8,561.742330,2510487930.388712
Li8_grid2,3,8,grid,2,N7-O9,561.747116,70295296392.297470
Li8_grid2,3,8,grid,2,O8-P10,305.146074,26575144620.103626
Li8_grid2,3,8,grid,2,O9-P10,305.141288,603961526.265044
Li8_grid2,3,8,grid,2,O9-P11,305.143134,27178748953.450855
Li8_grid2,3,8,grid,2,P10-Q12,183.992170,12055047690.802114
Li8_grid2,3,8,grid,2,P11-Q12,183.990324,185458207.311841
