Z,A,n,state,full_binding_eV,ideal_binding_eV
23,51,8,R15,-23204.4,-23204
24,50,6,P10,-44933.8,-44926.8
24,50,6,P11,-44926.1,-44919.2
24,50,7,Q12,-33005.5,-33003.4
24,50,7,Q13,-33002.1,-33000
24,50,8,R14,-25267,-25266.4
24,50,8,R15,-25265.3,-25264.7
24,52,6,P10,-44937.7,-44930.8
24,52,6,P11,-44930,-44923.1
24,52,7,Q12,-33008.4,-33006.3
24,52,7,Q13,-33004.9,-33002.9
24,52,8,R14,-25269.2,-25268.6
24,52,8,R15,-25267.5,-25266.9
24,53,6,P10,-44939.6,-44932.6
24,53,6,P11,-44931.9,-44924.9
24,53,7,Q12,-33009.7,-33007.7
24,53,7,Q13,-33006.3,-33004.2
24,53,8,R14,-25270.3,-25269.7
24,53,8,R15,-25268.5,-25267.9
24,54,6,P10,-44941.3,-44934.4
24,54,6,P11,-44933.7,-44926.7
24,54,7,Q12,-33011,-33009
24,54,7,Q13,-33007.6,-33005.5
24,54,8,R14,-25271.3,-25270.7
24,54,8,R15,-25269.5,-25268.9
25,50,6,P10,-48758.7,-48750.4
25,50,6,P11,-48749.7,-48741.3
25,50,7,Q12,-35814.4,-35811.8
25,50,7,Q13,-35810.3,-35807.8
25,50,8,R14,-27417,-27416.3
25,50,8,R15,-27415,-27414.2
25,51,6,P10,-48760.8,-48752.5
25,51,6,P11,-48751.8,-48743.5
25,51,7,Q12,-35815.9,-35813.4
25,51,7,Q13,-35811.9,-35809.4
25,51,8,R14,-27418.2,-27417.5
25,51,8,R15,-27416.2,-27415.4
25,52,6,P10,-48762.9,-48754.6
25,52,6,P11,-48753.9,-48745.6
25,52,7,Q12,-35817.5,-35814.9
25,52,7,Q13,-35813.4,-35810.9
25,52,8,R14,-27419.4,-27418.6
25,52,8,R15,-27417.4,-27416.6
25,53,6,P10,-48764.9,-48756.6
25,53,6,P11,-48755.9,-48747.6
25,53,7,Q12,-35818.9,-35816.4
25,53,7,Q13,-35814.9,-35812.3
25,53,8,R14,-27420.5,-27419.8
25,53,8,R15,-27418.5,-27417.7
25,54,6,P10,-48766.9,-48758.5
25,54,6,P11,-48757.8,-48749.5
25,54,7,Q12,-35820.4,-35817.8
25,54,7,Q13,-35816.3,-35813.8
25,54,8,R14,-27421.6,-27420.9
25,54,8,R15,-27419.6,-27418.8
25,55,6,P10,-48768.7,-48760.4
25,55,6,P11,-48759.7,-48751.4
25,55,7,Q12,-35821.7,-35819.2
25,55,7,Q13,-35817.7,-35815.1
25,55,8,R14,-27422.7,-27421.9
25,55,8,R15,-27420.6,-27419.9
25,56,6,P10,-48770.5,-48762.2
25,56,6,P11,-48761.5,-48753.2
25,56,7,Q12,-35823,-35820.5
25,56,7,Q13,-35819,-35816.4
25,56,8,R14,-27423.7,-27422.9
25,56,8,R15,-27421.6,-27420.9
26,54,6,P10,-52748.9,-52739
26,54,6,P11,-52738.3,-52728.5
26,54,7,Q12,-38744.5,-38741.4
26,54,7,Q13,-38739.8,-38736.7
26,54,8,R14,-29659.9,-29658.9
26,54,8,R15,-29657.5,-29656.5
26,56,6,P10,-52752.9,-52743
26,56,6,P11,-52742.3,-52732.4
26,56,7,Q12,-38747.4,-38744.3
26,56,7,Q13,-38742.7,-38739.6
26,56,8,R14,-29662.1,-29661.1
26,56,8,R15,-29659.7,-29658.7
26,57,6,P10,-52754.7,-52744.8
26,57,6,P11,-52744.2,-52734.3
26,57,7,Q12,-38748.8,-38745.7
26,57,7,Q13,-38744.1,-38741
26,57,8,R14,-29663.1,-29662.2
26,57,8,R15,-29660.7,-29659.8
26,58,6,P10,-52756.6,-52746.6
26,58,6,P11,-52746,-52736.1
26,58,7,Q12,-38750.1,-38747.1
26,58,7,Q13,-38745.4,-38742.3
26,58,8,R14,-29664.1,-29663.2
26,58,8,R15,-29661.8,-29660.8
27,59,6,P10,-56897.7,-56886
27,59,6,P11,-56885.4,-56873.7
27,59,7,Q12,-41791,-41787.3
27,59,7,Q13,-41785.5,-41781.8
27,59,8,R14,-31991.6,-31990.5
27,59,8,R15,-31988.9,-31987.7
28,58,6,P10,-61191.7,-61178
28,58,6,P11,-61177.5,-61163.8
28,58,7,Q12,-44944,-44939.6
28,58,7,Q13,-44937.6,-44933.2
28,58,8,R14,-34404.9,-34403.5
28,58,8,R15,-34401.7,-34400.3
28,60,6,P10,-61195.7,-61182
28,60,6,P11,-61181.4,-61167.8
28,60,7,Q12,-44946.9,-44942.5
28,60,7,Q13,-44940.6,-44936.2
28,60,8,R14,-34407.2,-34405.7
28,60,8,R15,-34404,-34402.5
28,61,6,P10,-61197.6,-61183.9
28,61,6,P11,-61183.3,-61169.7
28,61,7,Q12,-44948.3,-44943.9
28,61,7,Q13,-44942,-44937.5
28,61,8,R14,-34408.2,-34406.8
28,61,8,R15,-34405,-34403.6
28,62,6,P10,-61199.4,-61185.7
28,62,6,P11,-61185.2,-61171.5
28,62,7,Q12,-44949.7,-44945.3
28,62,7,Q13,-44943.3,-44938.9
28,62,8,R14,-34409.3,-34407.8
28,62,8,R15,-34406,-34404.6
28,64,6,P10,-61202.9,-61189.2
28,64,6,P11,-61188.7,-61175
28,64,7,Q12,-44952.3,-44947.8
28,64,7,Q13,-44945.9,-44941.5
28,64,8,R14,-34411.2,-34409.8
28,64,8,R15,-34408,-34406.6
29,63,6,P10,-65654.5,-65638.6
29,63,6,P11,-65638.1,-65622.2
29,63,7,Q12,-48220.8,-48215.6
29,63,7,Q13,-48213.5,-48208.3
29,63,8,R14,-36912.9,-36911.2
29,63,8,R15,-36909.2,-36907.5
29,65,6,P10,-65658.1,-65642.2
29,65,6,P11,-65641.7,-65625.9
29,65,7,Q12,-48223.5,-48218.3
29,65,7,Q13,-48216.2,-48211
29,65,8,R14,-36914.9,-36913.2
29,65,8,R15,-36911.3,-36909.5
30,64,6,P10,-70266.5,-70248.2
30,64,6,P11,-70247.7,-70229.5
30,64,7,Q12,-51607.1,-51601
30,64,7,Q13,-51598.7,-51592.6
30,64,8,R14,-39504.6,-39502.5
30,64,8,R15,-39500.4,-39498.3
30,66,6,P10,-70270.3,-70251.9
30,66,6,P11,-70251.5,-70233.2
30,66,7,Q12,-51609.9,-51603.8
30,66,7,Q13,-51601.5,-51595.4
30,66,8,R14,-39506.7,-39504.7
30,66,8,R15,-39502.5,-39500.4
30,67,6,P10,-70272.1,-70253.8
30,67,6,P11,-70253.3,-70235
30,67,7,Q12,-51611.2,-51605.1
30,67,7,Q13,-51602.8,-51596.7
30,67,8,R14,-39507.7,-39505.7
30,67,8,R15,-39503.5,-39501.4
30,68,6,P10,-70273.8,-70255.5
30,68,6,P11,-70255.1,-70236.8
30,68,7,Q12,-51612.5,-51606.4
30,68,7,Q13,-51604.1,-51598
30,68,8,R14,-39508.7,-39506.7
30,68,8,R15,-39504.5,-39502.4
30,70,6,P10,-70277.2,-70258.8
30,70,6,P11,-70258.4,-70240.1
30,70,7,Q12,-51615,-51608.8
30,70,7,Q13,-51606.5,-51600.4
30,70,8,R14,-39510.6,-39508.5
30,70,8,R15,-39506.4,-39504.3
31,69,6,P10,-75043.1,-75022.1
31,69,6,P11,-75021.8,-75000.8
31,69,7,Q12,-55114.1,-55107
31,69,7,Q13,-55104.5,-55097.4
31,69,8,R14,-42188.6,-42186.2
31,69,8,R15,-42183.8,-42181.4
31,71,6,P10,-75046.6,-75025.6
31,71,6,P11,-75025.2,-75004.3
31,71,7,Q12,-55116.7,-55109.6
31,71,7,Q13,-55107.1,-55100
31,71,8,R14,-42190.6,-42188.1
31,71,8,R15,-42185.8,-42183.3
32,70,6,P10,-79969.5,-79945.6
32,70,6,P11,-79945.2,-79921.3
32,70,7,Q12,-58730.9,-58722.7
32,70,7,Q13,-58720,-58711.8
32,70,8,R14,-44956.6,-44953.8
32,70,8,R15,-44951.1,-44948.3
32,72,6,P10,-79973.1,-79949.2
32,72,6,P11,-79948.8,-79924.9
32,72,7,Q12,-58733.6,-58725.3
32,72,7,Q13,-58722.7,-58714.4
32,72,8,R14,-44958.6,-44955.8
32,72,8,R15,-44953.2,-44950.3
32,73,6,P10,-79974.9,-79950.9
32,73,6,P11,-79950.6,-79926.6
32,73,7,Q12,-58734.9,-58726.6
32,73,7,Q13,-58723.9,-58715.7
32,73,8,R14,-44959.6,-44956.8
32,73,8,R15,-44954.1,-44951.3
32,74,6,P10,-79976.5,-79952.6
32,74,6,P11,-79952.2,-79928.3
32,74,7,Q12,-58736.1,-58727.8
32,74,7,Q13,-58725.2,-58716.9
32,74,8,R14,-44960.6,-44957.7
32,74,8,R15,-44955.1,-44952.2
32,76,6,P10,-79979.8,-79955.8
32,76,6,P11,-79955.5,-79931.5
32,76,7,Q12,-58738.5,-58730.2
32,76,7,Q13,-58727.5,-58719.3
32,76,8,R14,-44962.4,-44959.5
32,76,8,R15,-44956.9,-44954
33,75,6,P10,-85060.3,-85033.1
33,75,6,P11,-85032.8,-85005.7
33,75,7,Q12,-62468.3,-62458.8
33,75,7,Q13,-62455.9,-62446.5
33,75,8,R14,-47816.8,-47813.5
33,75,8,R15,-47810.6,-47807.3
34,74,6,P10,-90297.6,-90266.9
34,74,6,P11,-90266.6,-90236
34,74,7,Q12,-66313,-66302.2
34,74,7,Q13,-66299.1,-66288.3
34,74,8,R14,-50759.1,-50755.2
34,74,8,R15,-50752.1,-50748.2
34,76,6,P10,-90301.2,-90270.5
34,76,6,P11,-90270.3,-90239.6
34,76,7,Q12,-66315.7,-66304.9
34,76,7,Q13,-66301.8,-66291
34,76,8,R14,-50761.1,-50757.3
34,76,8,R15,-50754.2,-50750.3
34,77,6,P10,-90303,-90272.3
34,77,6,P11,-90272,-90241.4
34,77,7,Q12,-66317,-66306.2
34,77,7,Q13,-66303.1,-66292.3
34,77,8,R14,-50762.1,-50758.3
34,77,8,R15,-50755.1,-50751.3
34,78,6,P10,-90304.7,-90274
34,78,6,P11,-90273.7,-90243.1
34,78,7,Q12,-66318.3,-66307.4
34,78,7,Q13,-66304.4,-66293.5
34,78,8,R14,-50763.1,-50759.2
34,78,8,R15,-50756.1,-50752.2
34,80,6,P10,-90308,-90277.3
34,80,6,P11,-90277,-90246.4
34,80,7,Q12,-66320.7,-66309.8
34,80,7,Q13,-66306.8,-66295.9
34,80,8,R14,-50764.9,-50761.1
34,80,8,R15,-50757.9,-50754.1
34,82,6,P10,-90311.1,-90280.4
34,82,6,P11,-90280.1,-90249.5
34,82,7,Q12,-66323,-66312.1
34,82,7,Q13,-66309.1,-66298.2
34,82,8,R14,-50766.7,-50762.8
34,82,8,R15,-50759.7,-50755.8
35,79,6,P10,-95703,-95668.5
35,79,6,P11,-95668.2,-95633.8
35,79,7,Q12,-70281.1,-70268.7
35,79,7,Q13,-70265.4,-70253.1
35,79,8,R14,-53795.6,-53791.2
35,79,8,R15,-53787.8,-53783.3
35,81,6,P10,-95706.4,-95671.9
35,81,6,P11,-95671.6,-95637.2
35,81,7,Q12,-70283.5,-70271.2
35,81,7,Q13,-70267.9,-70255.6
35,81,8,R14,-53797.5,-53793.1
35,81,8,R15,-53789.7,-53785.2
36,72,6,P10,-101243,-101204
36,72,6,P11,-101204,-101165
36,72,7,Q12,-74347.5,-74333.5
36,72,7,Q13,-74330,-74316
36,72,8,R14,-56907.4,-56902.3
36,72,8,R15,-56898.6,-56893.5
36,74,6,P10,-101247,-101208
36,74,6,P11,-101208,-101169
36,74,7,Q12,-74350.6,-74336.6
36,74,7,Q13,-74333.1,-74319.1
36,74,8,R14,-56909.8,-56904.7
36,74,8,R15,-56901,-56895.9
36,75,6,P10,-101249,-101210
36,75,6,P11,-101210,-101172
36,75,7,Q12,-74352.1,-74338.1
36,75,7,Q13,-74334.6,-74320.7
36,75,8,R14,-56911,-56905.8
36,75,8,R15,-56902.2,-56897.1
36,76,6,P10,-101251,-101212
36,76,6,P11,-101212,-101174
36,76,7,Q12,-74353.6,-74339.6
36,76,7,Q13,-74336.1,-74322.1
36,76,8,R14,-56912.1,-56907
36,76,8,R15,-56903.3,-56898.2
36,77,6,P10,-101253,-101214
36,77,6,P11,-101214,-101176
36,77,7,Q12,-74355,-74341
36,77,7,Q13,-74337.6,-74323.6
36,77,8,R14,-56913.2,-56908.1
36,77,8,R15,-56904.4,-56899.3
36,78,6,P10,-101255,-101216
36,78,6,P11,-101216,-101177
36,78,7,Q12,-74356.4,-74342.4
36,78,7,Q13,-74339,-74325
36,78,8,R14,-56914.3,-56909.1
36,78,8,R15,-56905.5,-56900.4
36,79,6,P10,-101257,-101218
36,79,6,P11,-101218,-101179
36,79,7,Q12,-74357.8,-74343.8
36,79,7,Q13,-74340.3,-74326.3
36,79,8,R14,-56915.3,-56910.2
36,79,8,R15,-56906.5,-56901.4
36,80,6,P10,-101259,-101220
36,80,6,P11,-101220,-101181
36,80,7,Q12,-74359.1,-74345.1
36,80,7,Q13,-74341.6,-74327.7
36,80,8,R14,-56916.3,-56911.2
36,80,8,R15,-56907.5,-56902.4
36,81,6,P10,-101260,-101222
36,81,6,P11,-101221,-101183
36,81,7,Q12,-74360.4,-74346.4
36,81,7,Q13,-74343,-74329
36,81,8,R14,-56917.3,-56912.2
36,81,8,R15,-56908.5,-56903.4
36,82,6,P10,-101262,-101223
36,82,6,P11,-101223,-101185
36,82,7,Q12,-74361.7,-74347.7
36,82,7,Q13,-74344.2,-74330.2
36,82,8,R14,-56918.3,-56913.2
36,82,8,R15,-56909.5,-56904.4
36,83,6,P10,-101264,-101225
36,83,6,P11,-101225,-101186
36,83,7,Q12,-74363,-74348.9
36,83,7,Q13,-74345.5,-74331.5
36,83,8,R14,-56919.2,-56914.1
36,83,8,R15,-56910.5,-56905.3
36,84,6,P10,-101265,-101227
36,84,6,P11,-101226,-101188
36,84,7,Q12,-74364.2,-74350.2
36,84,7,Q13,-74346.7,-74332.7
36,84,8,R14,-56920.2,-56915
36,84,8,R15,-56911.4,-56906.3
36,85,6,P10,-101267,-101228
36,85,6,P11,-101228,-101190
36,85,7,Q12,-74365.3,-74351.3
36,85,7,Q13,-74347.9,-74333.9
36,85,8,R14,-56921.1,-56915.9
36,85,8,R15,-56912.3,-56907.2
36,86,6,P10,-101269,-101230
36,86,6,P11,-101230,-101191
36,86,7,Q12,-74366.5,-74352.5
36,86,7,Q13,-74349,-74335
36,86,8,R14,-56922,-56916.8
36,86,8,R15,-56913.2,-56908
36,87,6,P10,-101270,-101232
36,87,6,P11,-101231,-101193
36,87,7,Q12,-74367.6,-74353.6
36,87,7,Q13,-74350.1,-74336.2
36,87,8,R14,-56922.8,-56917.7
36,87,8,R15,-56914,-56908.9
36,88,6,P10,-101272,-101233
36,88,6,P11,-101233,-101194
36,88,7,Q12,-74368.7,-74354.7
36,88,7,Q13,-74351.2,-74337.3
36,88,8,R14,-56923.7,-56918.5
36,88,8,R15,-56914.9,-56909.8
36,89,6,P10,-101273,-101234
36,89,6,P11,-101234,-101196
36,89,7,Q12,-74369.8,-74355.8
36,89,7,Q13,-74352.3,-74338.3
36,89,8,R14,-56924.5,-56919.4
36,89,8,R15,-56915.7,-56910.6
36,90,6,P10,-101275,-101236
36,90,6,P11,-101236,-101197
36,90,7,Q12,-74370.9,-74356.9
36,90,7,Q13,-74353.4,-74339.4
36,90,8,R14,-56925.3,-56920.2
36,90,8,R15,-56916.5,-56911.4
36,91,6,P10,-101276,-101237
36,91,6,P11,-101237,-101198
36,91,7,Q12,-74371.9,-74357.9
36,91,7,Q13,-74354.4,-74340.4
36,91,8,R14,-56926.1,-56921
36,91,8,R15,-56917.3,-56912.2
36,92,6,P10,-101277,-101239
36,92,6,P11,-101238,-101200
36,92,7,Q12,-74372.9,-74358.9
36,92,7,Q13,-74355.4,-74341.4
36,92,8,R14,-56926.9,-56921.7
36,92,8,R15,-56918.1,-56913
36,93,6,P10,-101279,-101240
36,93,6,P11,-101240,-101201
36,93,7,Q12,-74373.9,-74359.9
36,93,7,Q13,-74356.4,-74342.4
36,93,8,R14,-56927.6,-56922.5
36,93,8,R15,-56918.8,-56913.7
36,94,6,P10,-101280,-101241
36,94,6,P11,-101241,-101203
36,94,7,Q12,-74374.9,-74360.9
36,94,7,Q13,-74357.4,-74343.4
36,94,8,R14,-56928.4,-56923.2
36,94,8,R15,-56919.6,-56914.5
36,95,6,P10,-101281,-101243
36,95,6,P11,-101242,-101204
36,95,7,Q12,-74375.8,-74361.8
36,95,7,Q13,-74358.3,-74344.3
36,95,8,R14,-56929.1,-56924
36,95,8,R15,-56920.3,-56915.2
36,96,6,P10,-101283,-101244
36,96,6,P11,-101244,-101205
36,96,7,Q12,-74376.8,-74362.7
36,96,7,Q13,-74359.3,-74345.3
36,96,8,R14,-56929.8,-56924.7
36,96,8,R15,-56921,-56915.9
37,76,6,P10,-106962,-106919
37,76,6,P11,-106918,-106875
37,76,7,Q12,-78545.3,-78529.6
37,76,7,Q13,-78525.8,-78510.1
37,76,8,R14,-60119.7,-60113.8
37,76,8,R15,-60109.9,-60104
37,77,6,P10,-106964,-106921
37,77,6,P11,-106920,-106877
37,77,7,Q12,-78546.9,-78531.1
37,77,7,Q13,-78527.3,-78511.6
37,77,8,R14,-60120.8,-60115
37,77,8,R15,-60111,-60105.2
37,78,6,P10,-106966,-106923
37,78,6,P11,-106922,-106879
37,78,7,Q12,-78548.3,-78532.5
37,78,7,Q13,-78528.8,-78513.1
37,78,8,R14,-60122,-60116.1
37,78,8,R15,-60112.2,-60106.3
37,79,6,P10,-106968,-106925
37,79,6,P11,-106924,-106881
37,79,7,Q12,-78549.8,-78534
37,79,7,Q13,-78530.3,-78514.5
37,79,8,R14,-60123.1,-60117.2
37,79,8,R15,-60113.3,-60107.4
37,80,6,P10,-106970,-106927
37,80,6,P11,-106926,-106883
37,80,7,Q12,-78551.2,-78535.4
37,80,7,Q13,-78531.7,-78515.9
37,80,8,R14,-60124.1,-60118.3
37,80,8,R15,-60114.3,-60108.5
37,81,6,P10,-106971,-106928
37,81,6,P11,-106928,-106885
37,81,7,Q12,-78552.6,-78536.8
37,81,7,Q13,-78533,-78517.3
37,81,8,R14,-60125.2,-60119.3
37,81,8,R15,-60115.4,-60109.5
37,82,6,P10,-106973,-106930
37,82,6,P11,-106930,-106887
37,82,7,Q12,-78553.9,-78538.1
37,82,7,Q13,-78534.4,-78518.6
37,82,8,R14,-60126.2,-60120.4
37,82,8,R15,-60116.4,-60110.6
37,83,6,P10,-106975,-106932
37,83,6,P11,-106932,-106889
37,83,7,Q12,-78555.2,-78539.4
37,83,7,Q13,-78535.7,-78519.9
37,83,8,R14,-60127.2,-60121.4
37,83,8,R15,-60117.4,-60111.6
37,84,6,P10,-106977,-106934
37,84,6,P11,-106933,-106890
37,84,7,Q12,-78556.5,-78540.7
37,84,7,Q13,-78537,-78521.2
37,84,8,R14,-60128.2,-60122.3
37,84,8,R15,-60118.4,-60112.5
37,85,6,P10,-106979,-106936
37,85,6,P11,-106935,-106892
37,85,7,Q12,-78557.7,-78541.9
37,85,7,Q13,-78538.2,-78522.4
37,85,8,R14,-60129.1,-60123.3
37,85,8,R15,-60119.3,-60113.5
37,86,6,P10,-106980,-106937
37,86,6,P11,-106937,-106894
37,86,7,Q12,-78559,-78543.2
37,86,7,Q13,-78539.4,-78523.7
37,86,8,R14,-60130.1,-60124.2
37,86,8,R15,-60120.3,-60114.4
37,87,6,P10,-106982,-106939
37,87,6,P11,-106938,-106895
37,87,7,Q12,-78560.1,-78544.3
37,87,7,Q13,-78540.6,-78524.9
37,87,8,R14,-60131,-60125.1
37,87,8,R15,-60121.2,-60115.3
37,88,6,P10,-106983,-106940
37,88,6,P11,-106940,-106897
37,88,7,Q12,-78561.3,-78545.5
37,88,7,Q13,-78541.8,-78526
37,88,8,R14,-60131.9,-60126
37,88,8,R15,-60122.1,-60116.2
37,89,6,P10,-106985,-106942
37,89,6,P11,-106941,-106899
37,89,7,Q12,-78562.5,-78546.6
37,89,7,Q13,-78542.9,-78527.2
37,89,8,R14,-60132.8,-60126.9
37,89,8,R15,-60123,-60117.1
37,90,6,P10,-106986,-106943
37,90,6,P11,-106943,-106900
37,90,7,Q12,-78563.6,-78547.8
37,90,7,Q13,-78544,-78528.3
37,90,8,R14,-60133.6,-60127.8
37,90,8,R15,-60123.8,-60118
37,91,6,P10,-106988,-106945
37,91,6,P11,-106944,-106902
37,91,7,Q12,-78564.7,-78548.9
37,91,7,Q13,-78545.1,-78529.4
37,91,8,R14,-60134.5,-60128.6
37,91,8,R15,-60124.7,-60118.8
37,92,6,P10,-106989,-106946
37,92,6,P11,-106946,-106903
37,92,7,Q12,-78565.7,-78549.9
37,92,7,Q13,-78546.2,-78530.4
37,92,8,R14,-60135.3,-60129.4
37,92,8,R15,-60125.5,-60119.6
37,93,6,P10,-106991,-106948
37,93,6,P11,-106947,-106904
37,93,7,Q12,-78566.8,-78551
37,93,7,Q13,-78547.3,-78531.5
37,93,8,R14,-60136.1,-60130.2
37,93,8,R15,-60126.3,-60120.4
37,94,6,P10,-106992,-106949
37,94,6,P11,-106949,-106906
37,94,7,Q12,-78567.8,-78552
37,94,7,Q13,-78548.3,-78532.5
37,94,8,R14,-60136.9,-60131
37,94,8,R15,-60127.1,-60121.2
37,95,6,P10,-106994,-106951
37,95,6,P11,-106950,-106907
37,95,7,Q12,-78568.8,-78553
37,95,7,Q13,-78549.3,-78533.5
37,95,8,R14,-60137.6,-60131.8
37,95,8,R15,-60127.8,-60122
37,96,6,P10,-106995,-106952
37,96,6,P11,-106951,-106909
37,96,7,Q12,-78569.8,-78554
37,96,7,Q13,-78550.3,-78534.5
37,96,8,R14,-60138.4,-60132.5
37,96,8,R15,-60128.6,-60122.7
37,97,6,P10,-106996,-106953
37,97,6,P11,-106953,-106910
37,97,7,Q12,-78570.8,-78554.9
37,97,7,Q13,-78551.2,-78535.4
37,97,8,R14,-60139.1,-60133.2
37,97,8,R15,-60129.3,-60123.4
37,98,6,P10,-106998,-106954
37,98,6,P11,-106954,-106911
37,98,7,Q12,-78571.7,-78555.9
37,98,7,Q13,-78552.2,-78536.4
37,98,8,R14,-60139.8,-60134
37,98,8,R15,-60130,-60124.2
38,77,6,P10,-112832,-112784
38,77,6,P11,-112783,-112736
38,77,7,Q12,-82853.9,-82836.2
38,77,7,Q13,-82832.2,-82814.5
38,77,8,R14,-63416.6,-63409.9
38,77,8,R15,-63405.7,-63399
38,78,6,P10,-112834,-112786
38,78,6,P11,-112785,-112738
38,78,7,Q12,-82855.5,-82837.7
38,78,7,Q13,-82833.8,-82816.1
38,78,8,R14,-63417.7,-63411.1
38,78,8,R15,-63406.8,-63400.2
38,79,6,P10,-112836,-112788
38,79,6,P11,-112788,-112740
38,79,7,Q12,-82857,-82839.3
38,79,7,Q13,-82835.3,-82817.6
38,79,8,R14,-63418.9,-63412.3
38,79,8,R15,-63408,-63401.4
38,80,6,P10,-112838,-112790
38,80,6,P11,-112790,-112742
38,80,7,Q12,-82858.5,-82840.7
38,80,7,Q13,-82836.8,-82819.1
38,80,8,R14,-63420,-63413.4
38,80,8,R15,-63409.1,-63402.5
38,81,6,P10,-112840,-112792
38,81,6,P11,-112792,-112744
38,81,7,Q12,-82859.9,-82842.2
38,81,7,Q13,-82838.2,-82820.5
38,81,8,R14,-63421.2,-63414.5
38,81,8,R15,-63410.3,-63403.6
38,82,6,P10,-112842,-112794
38,82,6,P11,-112793,-112746
38,82,7,Q12,-82861.3,-82843.6
38,82,7,Q13,-82839.6,-82821.9
38,82,8,R14,-63422.2,-63415.6
38,82,8,R15,-63411.3,-63404.7
38,83,6,P10,-112844,-112796
38,83,6,P11,-112795,-112748
38,83,7,Q12,-82862.7,-82845
38,83,7,Q13,-82841,-82823.3
38,83,8,R14,-63423.3,-63416.6
38,83,8,R15,-63412.4,-63405.7
38,84,6,P10,-112846,-112798
38,84,6,P11,-112797,-112750
38,84,7,Q12,-82864.1,-82846.3
38,84,7,Q13,-82842.3,-82824.6
38,84,8,R14,-63424.3,-63417.7
38,84,8,R15,-63413.4,-63406.8
38,85,6,P10,-112847,-112800
38,85,6,P11,-112799,-112751
38,85,7,Q12,-82865.4,-82847.6
38,85,7,Q13,-82843.7,-82825.9
38,85,8,R14,-63425.3,-63418.7
38,85,8,R15,-63414.4,-63407.8
38,86,6,P10,-112849,-112801
38,86,6,P11,-112801,-112753
38,86,7,Q12,-82866.7,-82848.9
38,86,7,Q13,-82844.9,-82827.2
38,86,8,R14,-63426.3,-63419.7
38,86,8,R15,-63415.4,-63408.8
38,87,6,P10,-112851,-112803
38,87,6,P11,-112802,-112755
38,87,7,Q12,-82867.9,-82850.2
38,87,7,Q13,-82846.2,-82828.5
38,87,8,R14,-63427.3,-63420.6
38,87,8,R15,-63416.4,-63409.7
38,88,6,P10,-112852,-112805
38,88,6,P11,-112804,-112756
38,88,7,Q12,-82869.1,-82851.4
38,88,7,Q13,-82847.4,-82829.7
38,88,8,R14,-63428.2,-63421.6
38,88,8,R15,-63417.3,-63410.7
38,89,6,P10,-112854,-112806
38,89,6,P11,-112806,-112758
38,89,7,Q12,-82870.3,-82852.6
38,89,7,Q13,-82848.6,-82830.9
38,89,8,R14,-63429.1,-63422.5
38,89,8,R15,-63418.2,-63411.6
38,90,6,P10,-112856,-112808
38,90,6,P11,-112807,-112760
38,90,7,Q12,-82871.5,-82853.8
38,90,7,Q13,-82849.8,-82832.1
38,90,8,R14,-63430,-63423.4
38,90,8,R15,-63419.1,-63412.5
38,91,6,P10,-112857,-112809
38,91,6,P11,-112809,-112761
38,91,7,Q12,-82872.7,-82854.9
38,91,7,Q13,-82851,-82833.2
38,91,8,R14,-63430.9,-63424.3
38,91,8,R15,-63420,-63413.4
38,92,6,P10,-112859,-112811
38,92,6,P11,-112810,-112763
38,92,7,Q12,-82873.8,-82856.1
38,92,7,Q13,-82852.1,-82834.4
38,92,8,R14,-63431.8,-63425.1
38,92,8,R15,-63420.9,-63414.2
38,93,6,P10,-112860,-112813
38,93,6,P11,-112812,-112764
38,93,7,Q12,-82874.9,-82857.2
38,93,7,Q13,-82853.2,-82835.5
38,93,8,R14,-63432.6,-63426
38,93,8,R15,-63421.7,-63415.1
38,94,6,P10,-112862,-112814
38,94,6,P11,-112813,-112766
38,94,7,Q12,-82876,-82858.2
38,94,7,Q13,-82854.3,-82836.5
38,94,8,R14,-63433.4,-63426.8
38,94,8,R15,-63422.5,-63415.9
38,95,6,P10,-112863,-112815
38,95,6,P11,-112815,-112767
38,95,7,Q12,-82877.1,-82859.3
38,95,7,Q13,-82855.3,-82837.6
38,95,8,R14,-63434.3,-63427.6
38,95,8,R15,-63423.4,-63416.7
38,96,6,P10,-112865,-112817
38,96,6,P11,-112816,-112769
38,96,7,Q12,-82878.1,-82860.3
38,96,7,Q13,-82856.4,-82838.6
38,96,8,R14,-63435,-63428.4
38,96,8,R15,-63424.1,-63417.5
38,97,6,P10,-112866,-112818
38,97,6,P11,-112818,-112770
38,97,7,Q12,-82879.1,-82861.3
38,97,7,Q13,-82857.4,-82839.6
38,97,8,R14,-63435.8,-63429.2
38,97,8,R15,-63424.9,-63418.3
38,98,6,P10,-112867,-112820
38,98,6,P11,-112819,-112771
38,98,7,Q12,-82880.1,-82862.3
38,98,7,Q13,-82858.4,-82840.6
38,98,8,R14,-63436.6,-63429.9
38,98,8,R15,-63425.7,-63419
38,99,6,P10,-112869,-112821
38,99,6,P11,-112820,-112773
38,99,7,Q12,-82881.1,-82863.3
38,99,7,Q13,-82859.4,-82841.6
38,99,8,R14,-63437.3,-63430.7
38,99,8,R15,-63426.4,-63419.8
38,100,6,P10,-112870,-112822
38,100,6,P11,-112822,-112774
38,100,7,Q12,-82882,-82864.3
38,100,7,Q13,-82860.3,-82842.6
38,100,8,R14,-63438.1,-63431.4
38,100,8,R15,-63427.2,-63420.5
