run,Z,A,kind,rc,err_bytes
Ne18_base,10,18,base,0,0
Ne18_rsig,10,18,rsig,0,0
Ne18_ideal6,10,18,ideal6,0,0
Ne18_ideal7,10,18,ideal7,0,0
Ne18_ideal8,10,18,ideal8,0,0
Ne19_base,10,19,base,0,0
Ne19_rsig,10,19,rsig,0,0
Ne19_ideal6,10,19,ideal6,0,0
Ne19_ideal7,10,19,ideal7,0,0
Ne19_ideal8,10,19,ideal8,0,0
Ne20_base,10,20,base,0,0
Ne20_rsig,10,20,rsig,0,0
Ne20_ideal6,10,20,ideal6,0,0
Ne20_ideal7,10,20,ideal7,0,0
Ne20_ideal8,10,20,ideal8,0,0
Ne21_base,10,21,base,0,0
Ne21_rsig,10,21,rsig,0,0
Ne21_ideal6,10,21,ideal6,0,0
Ne21_ideal7,10,21,ideal7,0,0
Ne21_ideal8,10,21,ideal8,0,0
Ne22_base,10,22,base,0,0
Ne22_rsig,10,22,rsig,0,0
Ne22_ideal6,10,22,ideal6,0,0
Ne22_ideal7,10,22,ideal7,0,0
Ne22_ideal8,10,22,ideal8,0,0
Ne23_base,10,23,base,0,0
Ne23_rsig,10,23,rsig,0,0
Ne23_ideal6,10,23,ideal6,0,0
Ne23_ideal7,10,23,ideal7,0,0
Ne23_ideal8,10,23,ideal8,0,0
Ne24_base,10,24,base,0,0
Ne24_rsig,10,24,rsig,0,0
Ne24_ideal6,10,24,ideal6,0,0
Ne24_ideal7,10,24,ideal7,0,0
Ne24_ideal8,10,24,ideal8,0,0
Ne25_base,10,25,base,0,0
Ne25_rsig,10,25,rsig,0,0
Ne25_ideal6,10,25,ideal6,0,0
Ne25_ideal7,10,25,ideal7,0,0
Ne25_ideal8,10,25,ideal8,0,0
Ne26_base,10,26,base,0,0
Ne26_rsig,10,26,rsig,0,0
Ne26_ideal6,10,26,ideal6,0,0
Ne26_ideal7,10,26,ideal7,0,0
Ne26_ideal8,10,26,ideal8,0,0
Ne28_base,10,28,base,0,0
Ne28_rsig,10,28,rsig,0,0
Ne28_ideal6,10,28,ideal6,0,0
Ne28_ideal7,10,28,ideal7,0,0
Ne28_ideal8,10,28,ideal8,0,0
Na20_base,11,20,base,0,0
Na20_rsig,11,20,rsig,0,0
Na20_ideal6,11,20,ideal6,0,0
Na20_ideal7,11,20,ideal7,0,0
Na20_ideal8,11,20,ideal8,0,0
Na21_base,11,21,base,0,0
Na21_rsig,11,21,rsig,0,0
Na21_ideal6,11,21,ideal6,0,0
Na21_ideal7,11,21,ideal7,0,0
Na21_ideal8,11,21,ideal8,0,0
Na22_base,11,22,base,0,0
Na22_rsig,11,22,rsig,0,0
Na22_ideal6,11,22,ideal6,0,0
Na22_ideal7,11,22,ideal7,0,0
Na22_ideal8,11,22,ideal8,0,0
Na23_base,11,23,base,0,0
Na23_rsig,11,23,rsig,0,0
Na23_ideal6,11,23,ideal6,0,0
Na23_ideal7,11,23,ideal7,0,0
Na23_ideal8,11,23,ideal8,0,0
Na24_base,11,24,base,0,0
Na24_rsig,11,24,rsig,0,0
