run,Z,A,kind,rc,err_bytes
Cu65_rsig,29,65,rsig,0,0
Cu65_ideal6,29,65,ideal6,0,0
Cu65_ideal7,29,65,ideal7,0,0
Cu65_ideal8,29,65,ideal8,0,0
Zn64_base,30,64,base,0,0
Zn64_rsig,30,64,rsig,0,0
Zn64_ideal6,30,64,ideal6,0,0
Zn64_ideal7,30,64,ideal7,0,0
Zn64_ideal8,30,64,ideal8,0,0
Zn66_base,30,66,base,0,0
Zn66_rsig,30,66,rsig,0,0
Zn66_ideal6,30,66,ideal6,0,0
Zn66_ideal7,30,66,ideal7,0,0
Zn66_ideal8,30,66,ideal8,0,0
Zn67_base,30,67,base,0,0
Zn67_rsig,30,67,rsig,0,0
Zn67_ideal6,30,67,ideal6,0,0
Zn67_ideal7,30,67,ideal7,0,0
Zn67_ideal8,30,67,ideal8,0,0
Zn68_base,30,68,base,0,0
Zn68_rsig,30,68,rsig,0,0
Zn68_ideal6,30,68,ideal6,0,0
Zn68_ideal7,30,68,ideal7,0,0
Zn68_ideal8,30,68,ideal8,0,0
Zn70_base,30,70,base,0,0
Zn70_rsig,30,70,rsig,0,0
Zn70_ideal6,30,70,ideal6,0,0
Zn70_ideal7,30,70,ideal7,0,0
Zn70_ideal8,30,70,ideal8,0,0
Ga69_base,31,69,base,0,0
Ga69_rsig,31,69,rsig,0,0
Ga69_ideal6,31,69,ideal6,0,0
Ga69_ideal7,31,69,ideal7,0,0
Ga69_ideal8,31,69,ideal8,0,0
Ga71_base,31,71,base,0,0
Ga71_rsig,31,71,rsig,0,0
Ga71_ideal6,31,71,ideal6,0,0
Ga71_ideal7,31,71,ideal7,0,0
Ga71_ideal8,31,71,ideal8,0,0
Ge70_base,32,70,base,0,0
Ge70_rsig,32,70,rsig,0,0
Ge70_ideal6,32,70,ideal6,0,0
Ge70_ideal7,32,70,ideal7,0,0
Ge70_ideal8,32,70,ideal8,0,0
Ge72_base,32,72,base,0,0
Ge72_rsig,32,72,rsig,0,0
Ge72_ideal6,32,72,ideal6,0,0
Ge72_ideal7,32,72,ideal7,0,0
Ge72_ideal8,32,72,ideal8,0,0
Ge73_base,32,73,base,0,0
Ge73_rsig,32,73,rsig,0,0
Ge73_ideal6,32,73,ideal6,0,0
Ge73_ideal7,32,73,ideal7,0,0
Ge73_ideal8,32,73,ideal8,0,0
Ge74_base,32,74,base,0,0
Ge74_rsig,32,74,rsig,0,0
Ge74_r101,32,74,r101,0,0
Ge74_ideal6,32,74,ideal6,0,0
Ge74_ideal7,32,74,ideal7,0,0
Ge74_ideal8,32,74,ideal8,0,0
Ge76_base,32,76,base,0,0
Ge76_rsig,32,76,rsig,0,0
Ge76_ideal6,32,76,ideal6,0,0
Ge76_ideal7,32,76,ideal7,0,0
Ge76_ideal8,32,76,ideal8,0,0
As75_base,33,75,base,0,0
As75_rsig,33,75,rsig,0,0
As75_ideal6,33,75,ideal6,0,0
As75_ideal7,33,75,ideal7,0,0
As75_ideal8,33,75,ideal8,0,0
Se74_base,34,74,base,0,0
Se74_rsig,34,74,rsig,0,0
Se74_ideal6,34,74,ideal6,0,0
Se74_ideal7,34,74,ideal7,0,0
Se74_ideal8,34,74,ideal8,0,0
Se76_base,34,76,base,0,0
Se76_rsig,34,76,rsig,0,0
Se76_ideal6,34,76,ideal6,0,0
Se76_ideal7,34,76,ideal7,0,0
Se76_ideal8,34,76,ideal8,0,0
Se77_base,34,77,base,0,0
Se77_rsig,34,77,rsig,0,0
Se77_ideal6,34,77,ideal6,0,0
Se77_ideal7,34,77,ideal7,0,0
Se77_ideal8,34,77,ideal8,0,0
Se78_base,34,78,base,0,0
Se78_rsig,34,78,rsig,0,0
Se78_ideal6,34,78,ideal6,0,0
Se78_ideal7,34,78,ideal7,0,0
Se78_ideal8,34,78,ideal8,0,0
Se80_base,34,80,base,0,0
Se80_rsig,34,80,rsig,0,0
Se80_ideal6,34,80,ideal6,0,0
Se80_ideal7,34,80,ideal7,0,0
Se80_ideal8,34,80,ideal8,0,0
Se82_base,34,82,base,0,0
Se82_rsig,34,82,rsig,0,0
Se82_ideal6,34,82,ideal6,0,0
Se82_ideal7,34,82,ideal7,0,0
Se82_ideal8,34,82,ideal8,0,0
Br79_base,35,79,base,0,0
Br79_rsig,35,79,rsig,0,0
Br79_ideal6,35,79,ideal6,0,0
Br79_ideal7,35,79,ideal7,0,0
Br79_ideal8,35,79,ideal8,0,0
Br81_base,35,81,base,0,0
Br81_rsig,35,81,rsig,0,0
Br81_ideal6,35,81,ideal6,0,0
Br81_ideal7,35,81,ideal7,0,0
Br81_ideal8,35,81,ideal8,0,0
Kr72_base,36,72,base,0,0
Kr72_rsig,36,72,rsig,0,0
Kr72_ideal6,36,72,ideal6,0,0
Kr72_ideal7,36,72,ideal7,0,0
Kr72_ideal8,36,72,ideal8,0,0
Kr74_base,36,74,base,0,0
Kr74_rsig,36,74,rsig,0,0
Kr74_ideal6,36,74,ideal6,0,0
Kr74_ideal7,36,74,ideal7,0,0
Kr74_ideal8,36,74,ideal8,0,0
Kr75_base,36,75,base,0,0
Kr75_rsig,36,75,rsig,0,0
Kr75_ideal6,36,75,ideal6,0,0
Kr75_ideal7,36,75,ideal7,0,0
Kr75_ideal8,36,75,ideal8,0,0
Kr76_base,36,76,base,0,0
Kr76_rsig,36,76,rsig,0,0
Kr76_ideal6,36,76,ideal6,0,0
Kr76_ideal7,36,76,ideal7,0,0
Kr76_ideal8,36,76,ideal8,0,0
Kr77_base,36,77,base,0,0
Kr77_rsig,36,77,rsig,0,0
Kr77_ideal6,36,77,ideal6,0,0
Kr77_ideal7,36,77,ideal7,0,0
Kr77_ideal8,36,77,ideal8,0,0
Kr78_base,36,78,base,0,0
Kr78_rsig,36,78,rsig,0,0
Kr78_ideal6,36,78,ideal6,0,0
Kr78_ideal7,36,78,ideal7,0,0
Kr78_ideal8,36,78,ideal8,0,0
Kr79_base,36,79,base,0,0
Kr79_rsig,36,79,rsig,0,0
Kr79_ideal6,36,79,ideal6,0,0
Kr79_ideal7,36,79,ideal7,0,0
Kr79_ideal8,36,79,ideal8,0,0
Kr80_base,36,80,base,0,0
Kr80_rsig,36,80,rsig,0,0
Kr80_ideal6,36,80,ideal6,0,0
Kr80_ideal7,36,80,ideal7,0,0
Kr80_ideal8,36,80,ideal8,0,0
Kr81_base,36,81,base,0,0
Kr81_rsig,36,81,rsig,0,0
Kr81_ideal6,36,81,ideal6,0,0
Kr81_ideal7,36,81,ideal7,0,0
Kr81_ideal8,36,81,ideal8,0,0
Kr82_base,36,82,base,0,0
Kr82_rsig,36,82,rsig,0,0
Kr82_ideal6,36,82,ideal6,0,0
Kr82_ideal7,36,82,ideal7,0,0
Kr82_ideal8,36,82,ideal8,0,0
Kr83_base,36,83,base,0,0
Kr83_rsig,36,83,rsig,0,0
Kr83_ideal6,36,83,ideal6,0,0
Kr83_ideal7,36,83,ideal7,0,0
Kr83_ideal8,36,83,ideal8,0,0
Kr84_base,36,84,base,0,0
Kr84_rsig,36,84,rsig,0,0
Kr84_ideal6,36,84,ideal6,0,0
Kr84_ideal7,36,84,ideal7,0,0
Kr84_ideal8,36,84,ideal8,0,0
Kr85_base,36,85,base,0,0
Kr85_rsig,36,85,rsig,0,0
Kr85_ideal6,36,85,ideal6,0,0
Kr85_ideal7,36,85,ideal7,0,0
Kr85_ideal8,36,85,ideal8,0,0
Kr86_base,36,86,base,0,0
Kr86_rsig,36,86,rsig,0,0
Kr86_ideal6,36,86,ideal6,0,0
Kr86_ideal7,36,86,ideal7,0,0
Kr86_ideal8,36,86,ideal8,0,0
Kr87_base,36,87,base,0,0
Kr87_rsig,36,87,rsig,0,0
Kr87_ideal6,36,87,ideal6,0,0
Kr87_ideal7,36,87,ideal7,0,0
Kr87_ideal8,36,87,ideal8,0,0
Kr88_base,36,88,base,0,0
Kr88_rsig,36,88,rsig,0,0
Kr88_ideal6,36,88,ideal6,0,0
Kr88_ideal7,36,88,ideal7,0,0
Kr88_ideal8,36,88,ideal8,0,0
Kr89_base,36,89,base,0,0
Kr89_rsig,36,89,rsig,0,0
Kr89_ideal6,36,89,ideal6,0,0
Kr89_ideal7,36,89,ideal7,0,0
Kr89_ideal8,36,89,ideal8,0,0
Kr90_base,36,90,base,0,0
Kr90_rsig,36,90,rsig,0,0
Kr90_ideal6,36,90,ideal6,0,0
Kr90_ideal7,36,90,ideal7,0,0
Kr90_ideal8,36,90,ideal8,0,0
Kr91_base,36,91,base,0,0
Kr91_rsig,36,91,rsig,0,0
Kr91_ideal6,36,91,ideal6,0,0
Kr91_ideal7,36,91,ideal7,0,0
Kr91_ideal8,36,91,ideal8,0,0
Kr92_base,36,92,base,0,0
Kr92_rsig,36,92,rsig,0,0
Kr92_ideal6,36,92,ideal6,0,0
Kr92_ideal7,36,92,ideal7,0,0
Kr92_ideal8,36,92,ideal8,0,0
Kr93_base,36,93,base,0,0
Kr93_rsig,36,93,rsig,0,0
Kr93_ideal6,36,93,ideal6,0,0
Kr93_ideal7,36,93,ideal7,0,0
Kr93_ideal8,36,93,ideal8,0,0
Kr94_base,36,94,base,0,0
Kr94_rsig,36,94,rsig,0,0
Kr94_ideal6,36,94,ideal6,0,0
Kr94_ideal7,36,94,ideal7,0,0
Kr94_ideal8,36,94,ideal8,0,0
Kr95_base,36,95,base,0,0
Kr95_rsig,36,95,rsig,0,0
Kr95_ideal6,36,95,ideal6,0,0
Kr95_ideal7,36,95,ideal7,0,0
Kr95_ideal8,36,95,ideal8,0,0
Kr96_base,36,96,base,0,0
Kr96_rsig,36,96,rsig,0,0
Kr96_ideal6,36,96,ideal6,0,0
Kr96_ideal7,36,96,ideal7,0,0
Kr96_ideal8,36,96,ideal8,0,0
Rb76_base,37,76,base,0,0
Rb76_rsig,37,76,rsig,0,0
Rb76_ideal6,37,76,ideal6,0,0
Rb76_ideal7,37,76,ideal7,0,0
Rb76_ideal8,37,76,ideal8,0,0
Rb77_base,37,77,base,0,0
Rb77_rsig,37,77,rsig,0,0
Rb77_ideal6,37,77,ideal6,0,0
Rb77_ideal7,37,77,ideal7,0,0
Rb77_ideal8,37,77,ideal8,0,0
Rb78_base,37,78,base,0,0
Rb78_rsig,37,78,rsig,0,0
Rb78_ideal6,37,78,ideal6,0,0
Rb78_ideal7,37,78,ideal7,0,0
Rb78_ideal8,37,78,ideal8,0,0
Rb79_base,37,79,base,0,0
Rb79_rsig,37,79,rsig,0,0
Rb79_ideal6,37,79,ideal6,0,0
Rb79_ideal7,37,79,ideal7,0,0
Rb79_ideal8,37,79,ideal8,0,0
Rb80_base,37,80,base,0,0
Rb80_rsig,37,80,rsig,0,0
Rb80_ideal6,37,80,ideal6,0,0
Rb80_ideal7,37,80,ideal7,0,0
Rb80_ideal8,37,80,ideal8,0,0
Rb81_base,37,81,base,0,0
Rb81_rsig,37,81,rsig,0,0
Rb81_ideal6,37,81,ideal6,0,0
Rb81_ideal7,37,81,ideal7,0,0
Rb81_ideal8,37,81,ideal8,0,0
Rb82_base,37,82,base,0,0
Rb82_rsig,37,82,rsig,0,0
Rb82_ideal6,37,82,ideal6,0,0
Rb82_ideal7,37,82,ideal7,0,0
Rb82_ideal8,37,82,ideal8,0,0
Rb83_base,37,83,base,0,0
Rb83_rsig,37,83,rsig,0,0
Rb83_ideal6,37,83,ideal6,0,0
Rb83_ideal7,37,83,ideal7,0,0
Rb83_ideal8,37,83,ideal8,0,0
Rb84_base,37,84,base,0,0
Rb84_rsig,37,84,rsig,0,0
Rb84_ideal6,37,84,ideal6,0,0
Rb84_ideal7,37,84,ideal7,0,0
Rb84_ideal8,37,84,ideal8,0,0
Rb85_base,37,85,base,0,0
Rb85_rsig,37,85,rsig,0,0
Rb85_ideal6,37,85,ideal6,0,0
Rb85_ideal7,37,85,ideal7,0,0
Rb85_ideal8,37,85,ideal8,0,0
Rb86_base,37,86,base,0,0
Rb86_rsig,37,86,rsig,0,0
Rb86_ideal6,37,86,ideal6,0,0
Rb86_ideal7,37,86,ideal7,0,0
Rb86_ideal8,37,86,ideal8,0,0
Rb87_base,37,87,base,0,0
Rb87_rsig,37,87,rsig,0,0
Rb87_ideal6,37,87,ideal6,0,0
Rb87_ideal7,37,87,ideal7,0,0
Rb87_ideal8,37,87,ideal8,0,0
Rb88_base,37,88,base,0,0
Rb88_rsig,37,88,rsig,0,0
Rb88_ideal6,37,88,ideal6,0,0
Rb88_ideal7,37,88,ideal7,0,0
Rb88_ideal8,37,88,ideal8,0,0
Rb89_base,37,89,base,0,0
Rb89_rsig,37,89,rsig,0,0
Rb89_ideal6,37,89,ideal6,0,0
Rb89_ideal7,37,89,ideal7,0,0
Rb89_ideal8,37,89,ideal8,0,0
Rb90_base,37,90,base,0,0
Rb90_rsig,37,90,rsig,0,0
Rb90_ideal6,37,90,ideal6,0,0
Rb90_ideal7,37,90,ideal7,0,0
Rb90_ideal8,37,90,ideal8,0,0
Rb91_base,37,91,base,0,0
Rb91_rsig,37,91,rsig,0,0
Rb91_ideal6,37,91,ideal6,0,0
Rb91_ideal7,37,91,ideal7,0,0
Rb91_ideal8,37,91,ideal8,0,0
Rb92_base,37,92,base,0,0
Rb92_rsig,37,92,rsig,0,0
Rb92_ideal6,37,92,ideal6,0,0
Rb92_ideal7,37,92,ideal7,0,0
Rb92_ideal8,37,92,ideal8,0,0
Rb93_base,37,93,base,0,0
Rb93_rsig,37,93,rsig,0,0
Rb93_ideal6,37,93,ideal6,0,0
Rb93_ideal7,37,93,ideal7,0,0
Rb93_ideal8,37,93,ideal8,0,0
Rb94_base,37,94,base,0,0
Rb94_rsig,37,94,rsig,0,0
Rb94_ideal6,37,94,ideal6,0,0
Rb94_ideal7,37,94,ideal7,0,0
Rb94_ideal8,37,94,ideal8,0,0
Rb95_base,37,95,base,0,0
Rb95_rsig,37,95,rsig,0,0
Rb95_ideal6,37,95,ideal6,0,0
Rb95_ideal7,37,95,ideal7,0,0
Rb95_ideal8,37,95,ideal8,0,0
Rb96_base,37,96,base,0,0
Rb96_rsig,37,96,rsig,0,0
Rb96_ideal6,37,96,ideal6,0,0
Rb96_ideal7,37,96,ideal7,0,0
Rb96_ideal8,37,96,ideal8,0,0
Rb97_base,37,97,base,0,0
Rb97_rsig,37,97,rsig,0,0
Rb97_ideal6,37,97,ideal6,0,0
Rb97_ideal7,37,97,ideal7,0,0
Rb97_ideal8,37,97,ideal8,0,0
Rb98_base,37,98,base,0,0
Rb98_rsig,37,98,rsig,0,0
Rb98_ideal6,37,98,ideal6,0,0
Rb98_ideal7,37,98,ideal7,0,0
Rb98_ideal8,37,98,ideal8,0,0
Sr77_base,38,77,base,0,0
Sr77_rsig,38,77,rsig,0,0
Sr77_ideal6,38,77,ideal6,0,0
Sr77_ideal7,38,77,ideal7,0,0
Sr77_ideal8,38,77,ideal8,0,0
Sr78_base,38,78,base,0,0
Sr78_rsig,38,78,rsig,0,0
Sr78_ideal6,38,78,ideal6,0,0
Sr78_ideal7,38,78,ideal7,0,0
Sr78_ideal8,38,78,ideal8,0,0
Sr79_base,38,79,base,0,0
Sr79_rsig,38,79,rsig,0,0
Sr79_ideal6,38,79,ideal6,0,0
Sr79_ideal7,38,79,ideal7,0,0
Sr79_ideal8,38,79,ideal8,0,0
Sr80_base,38,80,base,0,0
Sr80_rsig,38,80,rsig,0,0
Sr80_ideal6,38,80,ideal6,0,0
Sr80_ideal7,38,80,ideal7,0,0
Sr80_ideal8,38,80,ideal8,0,0
Sr81_base,38,81,base,0,0
Sr81_rsig,38,81,rsig,0,0
Sr81_ideal6,38,81,ideal6,0,0
Sr81_ideal7,38,81,ideal7,0,0
Sr81_ideal8,38,81,ideal8,0,0
Sr82_base,38,82,base,0,0
Sr82_rsig,38,82,rsig,0,0
Sr82_ideal6,38,82,ideal6,0,0
Sr82_ideal7,38,82,ideal7,0,0
Sr82_ideal8,38,82,ideal8,0,0
Sr83_base,38,83,base,0,0
Sr83_rsig,38,83,rsig,0,0
Sr83_ideal6,38,83,ideal6,0,0
Sr83_ideal7,38,83,ideal7,0,0
Sr83_ideal8,38,83,ideal8,0,0
Sr84_base,38,84,base,0,0
Sr84_rsig,38,84,rsig,0,0
Sr84_ideal6,38,84,ideal6,0,0
Sr84_ideal7,38,84,ideal7,0,0
Sr84_ideal8,38,84,ideal8,0,0
Sr85_base,38,85,base,0,0
Sr85_rsig,38,85,rsig,0,0
Sr85_ideal6,38,85,ideal6,0,0
Sr85_ideal7,38,85,ideal7,0,0
Sr85_ideal8,38,85,ideal8,0,0
Sr86_base,38,86,base,0,0
Sr86_rsig,38,86,rsig,0,0
Sr86_ideal6,38,86,ideal6,0,0
Sr86_ideal7,38,86,ideal7,0,0
Sr86_ideal8,38,86,ideal8,0,0
Sr87_base,38,87,base,0,0
Sr87_rsig,38,87,rsig,0,0
Sr87_ideal6,38,87,ideal6,0,0
Sr87_ideal7,38,87,ideal7,0,0
Sr87_ideal8,38,87,ideal8,0,0
Sr88_base,38,88,base,0,0
Sr88_rsig,38,88,rsig,0,0
Sr88_r101,38,88,r101,0,0
Sr88_ideal6,38,88,ideal6,0,0
Sr88_ideal7,38,88,ideal7,0,0
Sr88_ideal8,38,88,ideal8,0,0
Sr89_base,38,89,base,0,0
Sr89_rsig,38,89,rsig,0,0
Sr89_ideal6,38,89,ideal6,0,0
Sr89_ideal7,38,89,ideal7,0,0
Sr89_ideal8,38,89,ideal8,0,0
Sr90_base,38,90,base,0,0
Sr90_rsig,38,90,rsig,0,0
Sr90_ideal6,38,90,ideal6,0,0
Sr90_ideal7,38,90,ideal7,0,0
Sr90_ideal8,38,90,ideal8,0,0
Sr91_base,38,91,base,0,0
Sr91_rsig,38,91,rsig,0,0
Sr91_ideal6,38,91,ideal6,0,0
Sr91_ideal7,38,91,ideal7,0,0
Sr91_ideal8,38,91,ideal8,0,0
Sr92_base,38,92,base,0,0
Sr92_rsig,38,92,rsig,0,0
Sr92_ideal6,38,92,ideal6,0,0
Sr92_ideal7,38,92,ideal7,0,0
Sr92_ideal8,38,92,ideal8,0,0
Sr93_base,38,93,base,0,0
Sr93_rsig,38,93,rsig,0,0
Sr93_ideal6,38,93,ideal6,0,0
Sr93_ideal7,38,93,ideal7,0,0
Sr93_ideal8,38,93,ideal8,0,0
Sr94_base,38,94,base,0,0
Sr94_rsig,38,94,rsig,0,0
Sr94_ideal6,38,94,ideal6,0,0
Sr94_ideal7,38,94,ideal7,0,0
Sr94_ideal8,38,94,ideal8,0,0
Sr95_base,38,95,base,0,0
Sr95_rsig,38,95,rsig,0,0
Sr95_ideal6,38,95,ideal6,0,0
Sr95_ideal7,38,95,ideal7,0,0
Sr95_ideal8,38,95,ideal8,0,0
Sr96_base,38,96,base,0,0
Sr96_rsig,38,96,rsig,0,0
Sr96_ideal6,38,96,ideal6,0,0
Sr96_ideal7,38,96,ideal7,0,0
Sr96_ideal8,38,96,ideal8,0,0
Sr97_base,38,97,base,0,0
Sr97_rsig,38,97,rsig,0,0
Sr97_ideal6,38,97,ideal6,0,0
Sr97_ideal7,38,97,ideal7,0,0
Sr97_ideal8,38,97,ideal8,0,0
Sr98_base,38,98,base,0,0
Sr98_rsig,38,98,rsig,0,0
Sr98_ideal6,38,98,ideal6,0,0
Sr98_ideal7,38,98,ideal7,0,0
Sr98_ideal8,38,98,ideal8,0,0
Sr99_base,38,99,base,0,0
Sr99_rsig,38,99,rsig,0,0
Sr99_ideal6,38,99,ideal6,0,0
Sr99_ideal7,38,99,ideal7,0,0
Sr99_ideal8,38,99,ideal8,0,0
Sr100_base,38,100,base,0,0
Sr100_rsig,38,100,rsig,0,0
Sr100_ideal6,38,100,ideal6,0,0
Sr100_ideal7,38,100,ideal7,0,0
Sr100_ideal8,38,100,ideal8,0,0
Y86_base,39,86,base,0,0
Y86_rsig,39,86,rsig,0,0
Y86_ideal6,39,86,ideal6,0,0
Y86_ideal7,39,86,ideal7,0,0
Y86_ideal8,39,86,ideal8,0,0
Y87_base,39,87,base,0,0
Y87_rsig,39,87,rsig,0,0
Y87_ideal6,39,87,ideal6,0,0
Y87_ideal7,39,87,ideal7,0,0
Y87_ideal8,39,87,ideal8,0,0
Y88_base,39,88,base,0,0
Y88_rsig,39,88,rsig,0,0
Y88_ideal6,39,88,ideal6,0,0
Y88_ideal7,39,88,ideal7,0,0
Y88_ideal8,39,88,ideal8,0,0
Y89_base,39,89,base,0,0
Y89_rsig,39,89,rsig,0,0
Y89_ideal6,39,89,ideal6,0,0
Y89_ideal7,39,89,ideal7,0,0
Y89_ideal8,39,89,ideal8,0,0
Y90_base,39,90,base,0,0
Y90_rsig,39,90,rsig,0,0
Y90_ideal6,39,90,ideal6,0,0
Y90_ideal7,39,90,ideal7,0,0
Y90_ideal8,39,90,ideal8,0,0
Y92_base,39,92,base,0,0
Y92_rsig,39,92,rsig,0,0
Y92_ideal6,39,92,ideal6,0,0
Y92_ideal7,39,92,ideal7,0,0
Y92_ideal8,39,92,ideal8,0,0
Y93_base,39,93,base,0,0
Y93_rsig,39,93,rsig,0,0
Y93_ideal6,39,93,ideal6,0,0
Y93_ideal7,39,93,ideal7,0,0
Y93_ideal8,39,93,ideal8,0,0
Y94_base,39,94,base,0,0
Y94_rsig,39,94,rsig,0,0
Y94_ideal6,39,94,ideal6,0,0
Y94_ideal7,39,94,ideal7,0,0
Y94_ideal8,39,94,ideal8,0,0
Y95_base,39,95,base,0,0
Y95_rsig,39,95,rsig,0,0
Y95_ideal6,39,95,ideal6,0,0
Y95_ideal7,39,95,ideal7,0,0
Y95_ideal8,39,95,ideal8,0,0
Y96_base,39,96,base,0,0
Y96_rsig,39,96,rsig,0,0
Y96_ideal6,39,96,ideal6,0,0
Y96_ideal7,39,96,ideal7,0,0
Y96_ideal8,39,96,ideal8,0,0
Y97_base,39,97,base,0,0
Y97_rsig,39,97,rsig,0,0
Y97_ideal6,39,97,ideal6,0,0
Y97_ideal7,39,97,ideal7,0,0
Y97_ideal8,39,97,ideal8,0,0
Y98_base,39,98,base,0,0
Y98_rsig,39,98,rsig,0,0
Y98_ideal6,39,98,ideal6,0,0
Y98_ideal7,39,98,ideal7,0,0
Y98_ideal8,39,98,ideal8,0,0
Y99_base,39,99,base,0,0
Y99_rsig,39,99,rsig,0,0
Y99_ideal6,39,99,ideal6,0,0
Y99_ideal7,39,99,ideal7,0,0
Y99_ideal8,39,99,ideal8,0,0
Y100_base,39,100,base,0,0
Y100_rsig,39,100,rsig,0,0
Y100_ideal6,39,100,ideal6,0,0
Y100_ideal7,39,100,ideal7,0,0
Y100_ideal8,39,100,ideal8,0,0
Y101_base,39,101,base,0,0
Y101_rsig,39,101,rsig,0,0
Y101_ideal6,39,101,ideal6,0,0
Y101_ideal7,39,101,ideal7,0,0
Y101_ideal8,39,101,ideal8,0,0
Y102_base,39,102,base,0,0
Y102_rsig,39,102,rsig,0,0
Y102_ideal6,39,102,ideal6,0,0
Y102_ideal7,39,102,ideal7,0,0
Y102_ideal8,39,102,ideal8,0,0
Zr87_base,40,87,base,0,0
Zr87_rsig,40,87,rsig,0,0
Zr87_ideal6,40,87,ideal6,0,0
Zr87_ideal7,40,87,ideal7,0,0
Zr87_ideal8,40,87,ideal8,0,0
Zr88_base,40,88,base,0,0
Zr88_rsig,40,88,rsig,0,0
Zr88_ideal6,40,88,ideal6,0,0
Zr88_ideal7,40,88,ideal7,0,0
Zr88_ideal8,40,88,ideal8,0,0
Zr89_base,40,89,base,0,0
Zr89_rsig,40,89,rsig,0,0
Zr89_ideal6,40,89,ideal6,0,0
Zr89_ideal7,40,89,ideal7,0,0
Zr89_ideal8,40,89,ideal8,0,0
Zr90_base,40,90,base,0,0
Zr90_rsig,40,90,rsig,0,0
Zr90_r101,40,90,r101,0,0
Zr90_ideal6,40,90,ideal6,0,0
Zr90_ideal7,40,90,ideal7,0,0
Zr90_ideal8,40,90,ideal8,0,0
Zr91_base,40,91,base,0,0
Zr91_rsig,40,91,rsig,0,0
Zr91_ideal6,40,91,ideal6,0,0
Zr91_ideal7,40,91,ideal7,0,0
Zr91_ideal8,40,91,ideal8,0,0
Zr92_base,40,92,base,0,0
Zr92_rsig,40,92,rsig,0,0
Zr92_ideal6,40,92,ideal6,0,0
Zr92_ideal7,40,92,ideal7,0,0
Zr92_ideal8,40,92,ideal8,0,0
Zr94_base,40,94,base,0,0
Zr94_rsig,40,94,rsig,0,0
Zr94_ideal6,40,94,ideal6,0,0
Zr94_ideal7,40,94,ideal7,0,0
Zr94_ideal8,40,94,ideal8,0,0
Zr96_base,40,96,base,0,0
Zr96_rsig,40,96,rsig,0,0
Zr96_ideal6,40,96,ideal6,0,0
Zr96_ideal7,40,96,ideal7,0,0
Zr96_ideal8,40,96,ideal8,0,0
Zr97_base,40,97,base,0,0
Zr97_rsig,40,97,rsig,0,0
Zr97_ideal6,40,97,ideal6,0,0
Zr97_ideal7,40,97,ideal7,0,0
Zr97_ideal8,40,97,ideal8,0,0
Zr98_base,40,98,base,0,0
Zr98_rsig,40,98,rsig,0,0
Zr98_ideal6,40,98,ideal6,0,0
Zr98_ideal7,40,98,ideal7,0,0
Zr98_ideal8,40,98,ideal8,0,0
Zr99_base,40,99,base,0,0
Zr99_rsig,40,99,rsig,0,0
Zr99_ideal6,40,99,ideal6,0,0
Zr99_ideal7,40,99,ideal7,0,0
Zr99_ideal8,40,99,ideal8,0,0
Zr100_base,40,100,base,0,0
Zr100_rsig,40,100,rsig,0,0
Zr100_ideal6,40,100,ideal6,0,0
Zr100_ideal7,40,100,ideal7,0,0
Zr100_ideal8,40,100,ideal8,0,0
Zr101_base,40,101,base,0,0
Zr101_rsig,40,101,rsig,0,0
Zr101_ideal6,40,101,ideal6,0,0
Zr101_ideal7,40,101,ideal7,0,0
Zr101_ideal8,40,101,ideal8,0,0
Zr102_base,40,102,base,0,0
Zr102_rsig,40,102,rsig,0,0
Zr102_ideal6,40,102,ideal6,0,0
Zr102_ideal7,40,102,ideal7,0,0
Zr102_ideal8,40,102,ideal8,0,0
Nb90_base,41,90,base,0,0
Nb90_rsig,41,90,rsig,0,0
Nb90_ideal6,41,90,ideal6,0,0
Nb90_ideal7,41,90,ideal7,0,0
Nb90_ideal8,41,90,ideal8,0,0
Nb91_base,41,91,base,0,0
Nb91_rsig,41,91,rsig,0,0
Nb91_ideal6,41,91,ideal6,0,0
Nb91_ideal7,41,91,ideal7,0,0
Nb91_ideal8,41,91,ideal8,0,0
Nb92_base,41,92,base,0,0
Nb92_rsig,41,92,rsig,0,0
Nb92_ideal6,41,92,ideal6,0,0
Nb92_ideal7,41,92,ideal7,0,0
Nb92_ideal8,41,92,ideal8,0,0
Nb93_base,41,93,base,0,0
Nb93_rsig,41,93,rsig,0,0
Nb93_r101,41,93,r101,0,0
Nb93_ideal6,41,93,ideal6,0,0
Nb93_ideal7,41,93,ideal7,0,0
Nb93_ideal8,41,93,ideal8,0,0
Nb99_base,41,99,base,0,0
Nb99_rsig,41,99,rsig,0,0
Nb99_ideal6,41,99,ideal6,0,0
Nb99_ideal7,41,99,ideal7,0,0
Nb99_ideal8,41,99,ideal8,0,0
Nb101_base,41,101,base,0,0
Nb101_rsig,41,101,rsig,0,0
Nb101_ideal6,41,101,ideal6,0,0
Nb101_ideal7,41,101,ideal7,0,0
Nb101_ideal8,41,101,ideal8,0,0
Nb103_base,41,103,base,0,0
Nb103_rsig,41,103,rsig,0,0
Nb103_ideal6,41,103,ideal6,0,0
Nb103_ideal7,41,103,ideal7,0,0
Nb103_ideal8,41,103,ideal8,0,0
Mo90_base,42,90,base,0,0
Mo90_rsig,42,90,rsig,0,0
Mo90_ideal6,42,90,ideal6,0,0
Mo90_ideal7,42,90,ideal7,0,0
Mo90_ideal8,42,90,ideal8,0,0
Mo91_base,42,91,base,0,0
