run,Z,A,setting,state,n,l,s,binding_eV,total_eV
Be9_g0u0250,4,9,g0u0250,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u0250,4,9,g0u0250,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u0250,4,9,g0u0250,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u0250,4,9,g0u0250,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u0250,4,9,g0u0250,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u0250,4,9,g0u0250,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u0250,4,9,g0u0250,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u0250,4,9,g0u0250,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u0250,4,9,g0u0250,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u0250,4,9,g0u0250,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u0250,4,9,g0u0250,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u0300,4,9,g0u0300,K1,1,0,1,-44512.9,1.04301e+08
Be9_g0u0300,4,9,g0u0300,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u0300,4,9,g0u0300,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u0300,4,9,g0u0300,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u0300,4,9,g0u0300,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u0300,4,9,g0u0300,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u0300,4,9,g0u0300,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u0300,4,9,g0u0300,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u0300,4,9,g0u0300,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u0300,4,9,g0u0300,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u0300,4,9,g0u0300,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u0300,4,9,g0u0300,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u0300,4,9,g0u0300,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u0300,4,9,g0u0300,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u0300,4,9,g0u0300,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u0350,4,9,g0u0350,K1,1,0,1,-44512.9,1.04301e+08
Be9_g0u0350,4,9,g0u0350,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u0350,4,9,g0u0350,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u0350,4,9,g0u0350,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u0350,4,9,g0u0350,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u0350,4,9,g0u0350,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u0350,4,9,g0u0350,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u0350,4,9,g0u0350,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u0350,4,9,g0u0350,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u0350,4,9,g0u0350,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u0350,4,9,g0u0350,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u0350,4,9,g0u0350,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u0350,4,9,g0u0350,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u0350,4,9,g0u0350,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u0350,4,9,g0u0350,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u0400,4,9,g0u0400,K1,1,0,1,-44512.9,1.04301e+08
