run,Z,A,setting,state,n,l,s,binding_eV,total_eV
Be9_g0u0400,4,9,g0u0400,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u0400,4,9,g0u0400,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u0400,4,9,g0u0400,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u0400,4,9,g0u0400,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u0400,4,9,g0u0400,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u0400,4,9,g0u0400,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u0400,4,9,g0u0400,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u0400,4,9,g0u0400,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u0400,4,9,g0u0400,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u0400,4,9,g0u0400,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u0400,4,9,g0u0400,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u0400,4,9,g0u0400,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u0400,4,9,g0u0400,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u0400,4,9,g0u0400,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u0450,4,9,g0u0450,K1,1,0,1,-44512.9,1.04301e+08
Be9_g0u0450,4,9,g0u0450,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u0450,4,9,g0u0450,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u0450,4,9,g0u0450,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u0450,4,9,g0u0450,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u0450,4,9,g0u0450,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u0450,4,9,g0u0450,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u0450,4,9,g0u0450,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u0450,4,9,g0u0450,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u0450,4,9,g0u0450,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u0450,4,9,g0u0450,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u0450,4,9,g0u0450,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u0450,4,9,g0u0450,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u0450,4,9,g0u0450,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u0450,4,9,g0u0450,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u0500,4,9,g0u0500,K1,1,0,1,-44512.9,1.04301e+08
Be9_g0u0500,4,9,g0u0500,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u0500,4,9,g0u0500,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u0500,4,9,g0u0500,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u0500,4,9,g0u0500,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u0500,4,9,g0u0500,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u0500,4,9,g0u0500,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u0500,4,9,g0u0500,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u0500,4,9,g0u0500,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u0500,4,9,g0u0500,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u0500,4,9,g0u0500,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u0500,4,9,g0u0500,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u0500,4,9,g0u0500,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u0500,4,9,g0u0500,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u0500,4,9,g0u0500,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u0550,4,9,g0u0550,K1,1,0,1,-44512.9,1.04301e+08
Be9_g0u0550,4,9,g0u0550,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u0550,4,9,g0u0550,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u0550,4,9,g0u0550,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u0550,4,9,g0u0550,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u0550,4,9,g0u0550,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u0550,4,9,g0u0550,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u0550,4,9,g0u0550,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u0550,4,9,g0u0550,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u0550,4,9,g0u0550,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u0550,4,9,g0u0550,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u0550,4,9,g0u0550,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u0550,4,9,g0u0550,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u0550,4,9,g0u0550,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u0550,4,9,g0u0550,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u0600,4,9,g0u0600,K1,1,0,1,-44512.9,1.04301e+08
Be9_g0u0600,4,9,g0u0600,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u0600,4,9,g0u0600,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u0600,4,9,g0u0600,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u0600,4,9,g0u0600,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u0600,4,9,g0u0600,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u0600,4,9,g0u0600,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u0600,4,9,g0u0600,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u0600,4,9,g0u0600,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u0600,4,9,g0u0600,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u0600,4,9,g0u0600,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u0600,4,9,g0u0600,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u0600,4,9,g0u0600,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u0600,4,9,g0u0600,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u0600,4,9,g0u0600,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u0700,4,9,g0u0700,K1,1,0,1,-44512.9,1.04301e+08
Be9_g0u0700,4,9,g0u0700,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u0700,4,9,g0u0700,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u0700,4,9,g0u0700,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u0700,4,9,g0u0700,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u0700,4,9,g0u0700,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u0700,4,9,g0u0700,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u0700,4,9,g0u0700,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u0700,4,9,g0u0700,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u0700,4,9,g0u0700,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u0700,4,9,g0u0700,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u0700,4,9,g0u0700,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u0700,4,9,g0u0700,Q13,7,6,1,-907.19,1.04344e+08
