run,Z,A,kind,level,state,n,l,s,binding_eV,total_eV
Li6_rminus,3,6,rminus,0,Q12,7,6,0,-507.153,1.03702e+08
Li6_rminus,3,6,rminus,0,Q13,7,6,1,-507.153,1.03702e+08
Li6_rminus,3,6,rminus,0,R14,8,7,0,-388.289,1.03702e+08
Li6_rminus,3,6,rminus,0,R15,8,7,1,-388.289,1.03702e+08
Li6_grid0,3,6,grid,0,K1,1,0,1,-24886,1.03678e+08
Li6_grid0,3,6,grid,0,L2,2,1,0,-6215.57,1.03697e+08
Li6_grid0,3,6,grid,0,L3,2,1,1,-6214.82,1.03697e+08
Li6_grid0,3,6,grid,0,M4,3,2,0,-2761.36,1.037e+08
Li6_grid0,3,6,grid,0,M5,3,2,1,-2761.29,1.037e+08
Li6_grid0,3,6,grid,0,N6,4,3,0,-1553.18,1.03701e+08
Li6_grid0,3,6,grid,0,N7,4,3,1,-1553.17,1.03701e+08
Li6_grid0,3,6,grid,0,O8,5,4,0,-994.026,1.03702e+08
Li6_grid0,3,6,grid,0,O9,5,4,1,-994.022,1.03702e+08
Li6_grid0,3,6,grid,0,P10,6,5,0,-690.294,1.03702e+08
Li6_grid0,3,6,grid,0,P11,6,5,1,-690.292,1.03702e+08
Li6_grid0,3,6,grid,0,Q12,7,6,0,-507.153,1.03702e+08
Li6_grid0,3,6,grid,0,Q13,7,6,1,-507.153,1.03702e+08
Li6_grid0,3,6,grid,0,R14,8,7,0,-388.289,1.03702e+08
Li6_grid0,3,6,grid,0,R15,8,7,1,-388.289,1.03702e+08
Li6_grid1,3,6,grid,1,K1,1,0,1,-24886,1.03678e+08
Li6_grid1,3,6,grid,1,L2,2,1,0,-6215.57,1.03697e+08
Li6_grid1,3,6,grid,1,L3,2,1,1,-6214.82,1.03697e+08
Li6_grid1,3,6,grid,1,M4,3,2,0,-2761.36,1.037e+08
Li6_grid1,3,6,grid,1,M5,3,2,1,-2761.29,1.037e+08
Li6_grid1,3,6,grid,1,N6,4,3,0,-1553.18,1.03701e+08
Li6_grid1,3,6,grid,1,N7,4,3,1,-1553.17,1.03701e+08
Li6_grid1,3,6,grid,1,O8,5,4,0,-994.026,1.03702e+08
Li6_grid1,3,6,grid,1,O9,5,4,1,-994.022,1.03702e+08
Li6_grid1,3,6,grid,1,P10,6,5,0,-690.294,1.03702e+08
Li6_grid1,3,6,grid,1,P11,6,5,1,-690.292,1.03702e+08
Li6_grid1,3,6,grid,1,Q12,7,6,0,-507.153,1.03702e+08
Li6_grid1,3,6,grid,1,Q13,7,6,1,-507.153,1.03702e+08
Li6_grid1,3,6,grid,1,R14,8,7,0,-388.289,1.03702e+08
Li6_grid1,3,6,grid,1,R15,8,7,1,-388.289,1.03702e+08
Li6_grid2,3,6,grid,2,K1,1,0,1,-24886,1.03678e+08
Li6_grid2,3,6,grid,2,L2,2,1,0,-6215.57,1.03697e+08
Li6_grid2,3,6,grid,2,L3,2,1,1,-6214.82,1.03697e+08
Li6_grid2,3,6,grid,2,M4,3,2,0,-2761.36,1.037e+08
Li6_grid2,3,6,grid,2,M5,3,2,1,-2761.29,1.037e+08
Li6_grid2,3,6,grid,2,N6,4,3,0,-1553.18,1.03701e+08
Li6_grid2,3,6,grid,2,N7,4,3,1,-1553.17,1.03701e+08
Li6_grid2,3,6,grid,2,O8,5,4,0,-994.026,1.03702e+08
Li6_grid2,3,6,grid,2,O9,5,4,1,-994.022,1.03702e+08
Li6_grid2,3,6,grid,2,P10,6,5,0,-690.294,1.03702e+08
Li6_grid2,3,6,grid,2,P11,6,5,1,-690.292,1.03702e+08
Li6_grid2,3,6,grid,2,Q12,7,6,0,-507.153,1.03702e+08
Li6_grid2,3,6,grid,2,Q13,7,6,1,-507.153,1.03702e+08
Li6_grid2,3,6,grid,2,R14,8,7,0,-388.289,1.03702e+08
Li6_grid2,3,6,grid,2,R15,8,7,1,-388.289,1.03702e+08
Li6_grid3,3,6,grid,3,M4,3,2,0,-2761.36,1.037e+08
Li6_grid3,3,6,grid,3,N6,4,3,0,-1553.18,1.03701e+08
Li7_rminus,3,7,rminus,0,K1,1,0,1,-24955.7,1.03952e+08
Li7_rminus,3,7,rminus,0,L2,2,1,0,-6232.03,1.03971e+08
Li7_rminus,3,7,rminus,0,L3,2,1,1,-6231.28,1.03971e+08
Li7_rminus,3,7,rminus,0,M4,3,2,0,-2768.67,1.03975e+08
Li7_rminus,3,7,rminus,0,M5,3,2,1,-2768.6,1.03975e+08
Li7_rminus,3,7,rminus,0,N6,4,3,0,-1557.29,1.03976e+08
Li7_rminus,3,7,rminus,0,N7,4,3,1,-1557.28,1.03976e+08
Li7_rminus,3,7,rminus,0,O8,5,4,0,-996.658,1.03976e+08
Li7_rminus,3,7,rminus,0,O9,5,4,1,-996.653,1.03976e+08
Li7_rminus,3,7,rminus,0,P10,6,5,0,-692.121,1.03977e+08
Li7_rminus,3,7,rminus,0,P11,6,5,1,-692.119,1.03977e+08
Li7_rminus,3,7,rminus,0,Q12,7,6,0,-508.496,1.03977e+08
Li7_rminus,3,7,rminus,0,Q13,7,6,1,-508.495,1.03977e+08
Li7_rminus,3,7,rminus,0,R14,8,7,0,-389.317,1.03977e+08
Li7_rminus,3,7,rminus,0,R15,8,7,1,-389.316,1.03977e+08
Li7_grid0,3,7,grid,0,K1,1,0,1,-24954.9,1.03952e+08
Li7_grid0,3,7,grid,0,L2,2,1,0,-6232.03,1.03971e+08
Li7_grid0,3,7,grid,0,L3,2,1,1,-6231.28,1.03971e+08
Li7_grid0,3,7,grid,0,M4,3,2,0,-2768.67,1.03975e+08
Li7_grid0,3,7,grid,0,M5,3,2,1,-2768.6,1.03975e+08
Li7_grid0,3,7,grid,0,N6,4,3,0,-1557.29,1.03976e+08
Li7_grid0,3,7,grid,0,N7,4,3,1,-1557.28,1.03976e+08
Li7_grid0,3,7,grid,0,O8,5,4,0,-996.658,1.03976e+08
Li7_grid0,3,7,grid,0,O9,5,4,1,-996.653,1.03976e+08
Li7_grid0,3,7,grid,0,P10,6,5,0,-692.121,1.03977e+08
Li7_grid0,3,7,grid,0,P11,6,5,1,-692.119,1.03977e+08
Li7_grid0,3,7,grid,0,Q12,7,6,0,-508.496,1.03977e+08
Li7_grid0,3,7,grid,0,Q13,7,6,1,-508.495,1.03977e+08
Li7_grid0,3,7,grid,0,R14,8,7,0,-389.317,1.03977e+08
Li7_grid0,3,7,grid,0,R15,8,7,1,-389.316,1.03977e+08
Li7_grid1,3,7,grid,1,K1,1,0,1,-24954.9,1.03952e+08
Li7_grid1,3,7,grid,1,L2,2,1,0,-6232.03,1.03971e+08
Li7_grid1,3,7,grid,1,L3,2,1,1,-6231.28,1.03971e+08
Li7_grid1,3,7,grid,1,M4,3,2,0,-2768.67,1.03975e+08
Li7_grid1,3,7,grid,1,M5,3,2,1,-2768.6,1.03975e+08
Li7_grid1,3,7,grid,1,N6,4,3,0,-1557.29,1.03976e+08
Li7_grid1,3,7,grid,1,N7,4,3,1,-1557.28,1.03976e+08
Li7_grid1,3,7,grid,1,O8,5,4,0,-996.658,1.03976e+08
Li7_grid1,3,7,grid,1,O9,5,4,1,-996.653,1.03976e+08
Li7_grid1,3,7,grid,1,P10,6,5,0,-692.121,1.03977e+08
Li7_grid1,3,7,grid,1,P11,6,5,1,-692.119,1.03977e+08
Li7_grid1,3,7,grid,1,Q12,7,6,0,-508.496,1.03977e+08
Li7_grid1,3,7,grid,1,Q13,7,6,1,-508.495,1.03977e+08
Li7_grid1,3,7,grid,1,R14,8,7,0,-389.317,1.03977e+08
Li7_grid1,3,7,grid,1,R15,8,7,1,-389.316,1.03977e+08
Li7_grid2,3,7,grid,2,K1,1,0,1,-24954.9,1.03952e+08
Li7_grid2,3,7,grid,2,L2,2,1,0,-6232.03,1.03971e+08
Li7_grid2,3,7,grid,2,L3,2,1,1,-6231.28,1.03971e+08
Li7_grid2,3,7,grid,2,M4,3,2,0,-2768.67,1.03975e+08
Li7_grid2,3,7,grid,2,M5,3,2,1,-2768.6,1.03975e+08
Li7_grid2,3,7,grid,2,N6,4,3,0,-1557.29,1.03976e+08
Li7_grid2,3,7,grid,2,N7,4,3,1,-1557.28,1.03976e+08
Li7_grid2,3,7,grid,2,O8,5,4,0,-996.658,1.03976e+08
Li7_grid2,3,7,grid,2,O9,5,4,1,-996.653,1.03976e+08
Li7_grid2,3,7,grid,2,P10,6,5,0,-692.121,1.03977e+08
Li7_grid2,3,7,grid,2,P11,6,5,1,-692.119,1.03977e+08
Li7_grid2,3,7,grid,2,Q12,7,6,0,-508.496,1.03977e+08
Li7_grid2,3,7,grid,2,Q13,7,6,1,-508.495,1.03977e+08
Li7_grid2,3,7,grid,2,R14,8,7,0,-389.317,1.03977e+08
Li7_grid2,3,7,grid,2,R15,8,7,1,-389.316,1.03977e+08
Li8_rminus,3,8,rminus,0,K1,1,0,1,-25007.8,1.0416e+08
Li8_rminus,3,8,rminus,0,L2,2,1,0,-6244.5,1.04179e+08
