run,Z,A,kind,state,n,l,s,binding_eV,total_eV
H3_rsig,1,3,rsig,M4,3,2,0,-301.253,1.01828e+08
H3_rsig,1,3,rsig,M5,3,2,1,-301.252,1.01828e+08
H3_rsig,1,3,rsig,N6,4,3,0,-169.454,1.01829e+08
H3_rsig,1,3,rsig,N7,4,3,1,-169.454,1.01829e+08
H3_rsig,1,3,rsig,O8,5,4,0,-108.45,1.01829e+08
H3_rsig,1,3,rsig,O9,5,4,1,-108.45,1.01829e+08
H3_rsig,1,3,rsig,P10,6,5,0,-75.3128,1.01829e+08
H3_rsig,1,3,rsig,P11,6,5,1,-75.3128,1.01829e+08
H3_rsig,1,3,rsig,Q12,7,6,0,-55.3318,1.01829e+08
H3_rsig,1,3,rsig,Q13,7,6,1,-55.3318,1.01829e+08
H3_rsig,1,3,rsig,R14,8,7,0,-42.3634,1.01829e+08
H3_rsig,1,3,rsig,R15,8,7,1,-42.3634,1.01829e+08
He3_base,2,3,base,K1,1,0,1,-10860.2,1.01818e+08
He3_base,2,3,base,L2,2,1,0,-2711.82,1.01826e+08
He3_base,2,3,base,L3,2,1,1,-2711.68,1.01826e+08
He3_base,2,3,base,M4,3,2,0,-1205.04,1.01828e+08
He3_base,2,3,base,M5,3,2,1,-1205.02,1.01828e+08
He3_base,2,3,base,N6,4,3,0,-677.82,1.01828e+08
He3_base,2,3,base,N7,4,3,1,-677.817,1.01828e+08
He3_base,2,3,base,O8,5,4,0,-433.803,1.01828e+08
He3_base,2,3,base,O9,5,4,1,-433.802,1.01828e+08
He3_base,2,3,base,P10,6,5,0,-301.252,1.01828e+08
He3_base,2,3,base,P11,6,5,1,-301.251,1.01828e+08
He3_base,2,3,base,Q12,7,6,0,-221.328,1.01829e+08
He3_base,2,3,base,Q13,7,6,1,-221.327,1.01829e+08
He3_base,2,3,base,R14,8,7,0,-169.454,1.01829e+08
He3_base,2,3,base,R15,8,7,1,-169.454,1.01829e+08
He3_rsig,2,3,rsig,K1,1,0,1,-10860.2,1.01818e+08
He3_rsig,2,3,rsig,L2,2,1,0,-2711.82,1.01826e+08
He3_rsig,2,3,rsig,L3,2,1,1,-2711.68,1.01826e+08
He3_rsig,2,3,rsig,M4,3,2,0,-1205.04,1.01828e+08
He3_rsig,2,3,rsig,M5,3,2,1,-1205.02,1.01828e+08
He3_rsig,2,3,rsig,N6,4,3,0,-677.82,1.01828e+08
He3_rsig,2,3,rsig,N7,4,3,1,-677.817,1.01828e+08
He3_rsig,2,3,rsig,O8,5,4,0,-433.803,1.01828e+08
He3_rsig,2,3,rsig,O9,5,4,1,-433.802,1.01828e+08
He3_rsig,2,3,rsig,P10,6,5,0,-301.252,1.01828e+08
He3_rsig,2,3,rsig,P11,6,5,1,-301.251,1.01828e+08
He3_rsig,2,3,rsig,Q12,7,6,0,-221.328,1.01829e+08
He3_rsig,2,3,rsig,Q13,7,6,1,-221.327,1.01829e+08
He3_rsig,2,3,rsig,R14,8,7,0,-169.454,1.01829e+08
He3_rsig,2,3,rsig,R15,8,7,1,-169.454,1.01829e+08
He4_base,2,4,base,K1,1,0,1,-10958,1.02736e+08
He4_base,2,4,base,L2,2,1,0,-2736.28,1.02744e+08
He4_base,2,4,base,L3,2,1,1,-2736.13,1.02744e+08
He4_base,2,4,base,M4,3,2,0,-1215.9,1.02745e+08
He4_base,2,4,base,M5,3,2,1,-1215.88,1.02745e+08
He4_base,2,4,base,N6,4,3,0,-683.93,1.02746e+08
He4_base,2,4,base,N7,4,3,1,-683.927,1.02746e+08
He4_base,2,4,base,O8,5,4,0,-437.714,1.02746e+08
He4_base,2,4,base,O9,5,4,1,-437.713,1.02746e+08
He4_base,2,4,base,P10,6,5,0,-303.967,1.02746e+08
He4_base,2,4,base,P11,6,5,1,-303.967,1.02746e+08
He4_base,2,4,base,Q12,7,6,0,-223.323,1.02746e+08
He4_base,2,4,base,Q13,7,6,1,-223.323,1.02746e+08
He4_base,2,4,base,R14,8,7,0,-170.981,1.02746e+08
