Z,A,parity_value,parity_unc,published_cells_at_z,equal_count,equal_locators
11,23,0.3773,0.0014,Table IV p.2218 row 7 Na 0.387+-0.015 [10^6/s]; Table IV p.2218 row 8 Na 0.3772+-0.0014 [10^6/s],0,
12,24,0.4823,0.0013,Table IV p.2218 row 9 Mg 0.507+-0.020 [10^6/s]; Table IV p.2218 row 10 Mg 0.480+-0.002 [10^6/s]; Table IV p.2218 row 11 Mg 0.52+-0.02 [10^6/s]; Table IV p.2218 row 12 Mg 0.4841+-0.0018 [10^6/s],0,
13,27,0.6985,0.0012,Table IV p.2218 row 13 Al 0.691+-0.020 [10^6/s]; Table IV p.2218 row 14 Al 0.662+-0.003 [10^6/s]; Table IV p.2218 row 15 Al 0.650+-0.015 [10^6/s]; Table IV p.2218 row 16 Al 0.7054+-0.0013 [10^6/s],0,
14,28,0.8656,0.0015,Table IV p.2218 row 17 Si 0.777+-0.025 [10^6/s]; Table IV p.2218 row 18 Si 0.850+-0.003 [10^6/s]; Table IV p.2218 row 19 Si 0.86+-0.04 [10^6/s]; Table IV p.2218 row 20 Si 0.8712+-0.0018 [10^6/s],0,
15,31,1.1681,0.0026,Table IV p.2218 row 21 P 1.05+-0.05 [10^6/s]; Table IV p.2218 row 22 P 1.121+-0.005 [10^6/s]; Table IV p.2218 row 23 P 1.185+-0.003 [10^6/s],0,
16,32,1.3510,0.0029,Table IV p.2218 row 24 S 1.39+-0.09 [10^6/s]; Table IV p.2218 row 25 S 1.31+-0.03 [10^6/s]; Table IV p.2218 row 26 S 1.34+-0.01 [10^6/s]; Table IV p.2218 row 27 S 1.352+-0.003 [10^6/s],0,
17,35,1.800,0.050,Table IV p.2218 row 28 Cl 1.39+-0.09 [10^6/s]; Table IV p.2218 row 29 Cl 1.333+-0.006 [10^6/s]; Table IV p.2218 row 30 35Cl 1.80+-0.05 [10^6/s]; Table IV p.2218 row 31 37Cl 1.25+-0.05 [10^6/s]; Table IV p.2218 row 32 natCl 1.64+-0.08 [10^6/s],1,Table IV p.2218 row 30
17,37,1.250,0.050,Table IV p.2218 row 28 Cl 1.39+-0.09 [10^6/s]; Table IV p.2218 row 29 Cl 1.333+-0.006 [10^6/s]; Table IV p.2218 row 30 35Cl 1.80+-0.05 [10^6/s]; Table IV p.2218 row 31 37Cl 1.25+-0.05 [10^6/s]; Table IV p.2218 row 32 natCl 1.64+-0.08 [10^6/s],1,Table IV p.2218 row 31
18,40,1.2727,0.0650,Table IV p.2218 row 33 Ar 1.20+-0.08 [10^6/s]; Table IV p.2218 row 34 Ar 1.41+-0.11 [10^6/s],0,
19,39,1.8492,0.0050,Table IV p.2218 row 35 K 1.99+-0.12 [10^6/s]; Table IV p.2218 row 36 K 1.849+-0.005 [10^6/s],1,Table IV p.2218 row 36
