table,printed_page,page_row_ordinal,Z,z_from,target_label,label_from,target_basis,basis_rule,mean_life_ns,mean_life_unc_ns,rate,rate_unc,rate_unc_plus,rate_unc_minus,rate_exp10,rate_unit,rate_parenthesized,huff_factor,huff_from,refs,own_measurement,copy_read
IV,2219,36,34,Table IV p.2219 row 35,Se,Table IV p.2219 row 35,unspecified,bare-symbol,163.5,1.0,5.681,0.037,,,0,10^6/s,false,0.955,Table IV p.2219 row 35,a,true,published-scan
IV,2219,37,35,printed,79Br,Table IV p.2219 row 37,isotope,integer-mass-prefix,133.7,6.5,7.05,0.35,,,0,10^6/s,false,0.952,printed,55,false,published-scan
IV,2219,38,35,Table IV p.2219 row 37,81Br,Table IV p.2219 row 38,isotope,integer-mass-prefix,125.3,7.9,7.55,0.48,,,0,10^6/s,false,,,55,false,published-scan
IV,2219,39,35,Table IV p.2219 row 37,Br,Table IV p.2219 row 39,unspecified,bare-symbol,133.3,1.0,7.07,0.06,,,0,10^6/s,false,,,a,true,published-scan
IV,2219,40,37,printed,Rb,Table IV p.2219 row 40,unspecified,bare-symbol,136.5,2.7,6.89,0.14,,,0,10^6/s,false,0.948,printed,49,false,published-scan
IV,2219,41,38,printed,Sr,Table IV p.2219 row 41,unspecified,bare-symbol,130.1,2.3,7.25,0.14,,,0,10^6/s,false,0.945,printed,49,false,published-scan
IV,2219,42,38,Table IV p.2219 row 41,Sr,Table IV p.2219 row 41,unspecified,bare-symbol,134.1,2.5,7.02,0.14,,,0,10^6/s,false,0.945,Table IV p.2219 row 41,a,true,published-scan
IV,2219,43,38,Table IV p.2219 row 41,88Sr,Table IV p.2219 row 43,isotope,integer-mass-prefix,142.0,5.5,6.61,0.27,,,0,10^6/s,false,,,49,false,published-scan
IV,2219,44,39,printed,Y,Table IV p.2219 row 44,unspecified,bare-symbol,120.2,1.4,7.89,0.11,,,0,10^6/s,false,0.942,printed,54,false,published-scan
IV,2219,45,40,printed,Zr,Table IV p.2219 row 45,unspecified,bare-symbol,110.8,0.8,8.59,0.07,,,0,10^6/s,false,0.940,printed,49,false,published-scan
IV,2219,46,40,Table IV p.2219 row 45,Zr,Table IV p.2219 row 45,unspecified,bare-symbol,110.0,1.0,8.66,0.08,,,0,10^6/s,false,0.940,Table IV p.2219 row 45,a,true,published-scan
IV,2219,47,41,printed,Nb,Table IV p.2219 row 47,unspecified,bare-symbol,92.3,1.1,10.40,0.14,,,0,10^6/s,false,0.939,printed,54,false,published-scan
IV,2219,48,41,Table IV p.2219 row 47,Nb,Table IV p.2219 row 47,unspecified,bare-symbol,92.7,1.5,10.36,0.17,,,0,10^6/s,false,0.939,Table IV p.2219 row 47,a,true,published-scan
IV,2219,49,42,printed,Mo,Table IV p.2219 row 49,unspecified,bare-symbol,105,2,9.09,0.18,,,0,10^6/s,false,0.936,printed,40,false,published-scan
IV,2219,50,42,Table IV p.2219 row 49,Mo,Table IV p.2219 row 49,unspecified,bare-symbol,103.5,0.7,9.23,0.07,,,0,10^6/s,false,0.936,Table IV p.2219 row 49,49,false,published-scan
IV,2219,51,42,Table IV p.2219 row 49,Mo,Table IV p.2219 row 49,unspecified,bare-symbol,99.6,1.5,9.614,0.15,,,0,10^6/s,false,0.936,Table IV p.2219 row 49,a,true,published-scan
IV,2219,52,45,printed,Rh,Table IV p.2219 row 52,unspecified,bare-symbol,95.8,0.6,10.01,0.07,,,0,10^6/s,false,0.929,printed,49,false,published-scan
IV,2219,53,46,printed,Pd,Table IV p.2219 row 53,unspecified,bare-symbol,96.0,0.6,10.00,0.07,,,0,10^6/s,false,0.927,printed,49,false,published-scan
IV,2219,54,47,printed,Ag,Table IV p.2219 row 54,unspecified,bare-symbol,85,3,11.25,0.50,,,0,10^6/s,false,0.925,printed,40,false,published-scan
IV,2219,55,47,Table IV p.2219 row 54,Ag,Table IV p.2219 row 54,unspecified,bare-symbol,88.7,0.9,10.86,0.13,,,0,10^6/s,false,0.925,Table IV p.2219 row 54,54,false,published-scan
IV,2219,56,47,Table IV p.2219 row 54,Ag,Table IV p.2219 row 54,unspecified,bare-symbol,88.6,1.1,10.88,0.14,,,0,10^6/s,false,0.925,Table IV p.2219 row 54,49,false,published-scan
IV,2219,57,47,Table IV p.2219 row 54,Ag,Table IV p.2219 row 54,unspecified,bare-symbol,91.6,2.2,10.5,0.3,,,0,10^6/s,false,0.925,Table IV p.2219 row 54,76,false,published-scan
IV,2219,58,47,Table IV p.2219 row 54,Ag,Table IV p.2219 row 54,unspecified,bare-symbol,87.0,1.5,11.07,0.20,,,0,10^6/s,false,0.925,Table IV p.2219 row 54,a,true,published-scan
IV,2219,59,48,printed,Cd,Table IV p.2219 row 59,unspecified,bare-symbol,95,5,10.1,0.5,,,0,10^6/s,false,0.921,printed,40,false,published-scan
IV,2219,60,48,Table IV p.2219 row 59,Cd,Table IV p.2219 row 59,unspecified,bare-symbol,90.5,0.8,10.63,0.11,,,0,10^6/s,false,0.921,Table IV p.2219 row 59,54,false,published-scan
IV,2220,3,48,Table IV p.2219 row 59,Cd,Table IV p.2220 row 3,unspecified,bare-symbol,90.7,1.5,10.61,0.18,,,0,10^6/s,false,0.921,Table IV p.2219 row 59,a,true,published-scan
IV,2220,4,49,printed,In,Table IV p.2220 row 4,unspecified,bare-symbol,84.8,0.8,11.37,0.13,,,0,10^6/s,false,0.920,printed,54,false,published-scan
IV,2220,5,49,Table IV p.2220 row 4,In,Table IV p.2220 row 4,unspecified,bare-symbol,84.6,1.5,11.40,0.21,,,0,10^6/s,false,0.920,Table IV p.2220 row 4,a,true,published-scan
IV,2220,6,50,printed,Sn,Table IV p.2220 row 6,unspecified,bare-symbol,92,3,10.5,0.4,,,0,10^6/s,false,0.918,printed,43,false,published-scan
IV,2220,7,50,Table IV p.2220 row 6,Sn,Table IV p.2220 row 6,unspecified,bare-symbol,89.9,1.0,10.70,0.14,,,0,10^6/s,false,0.918,Table IV p.2220 row 6,54,false,published-scan
IV,2220,8,50,Table IV p.2220 row 6,Sn,Table IV p.2220 row 6,unspecified,bare-symbol,92.1,1.5,10.44,0.18,,,0,10^6/s,false,0.918,Table IV p.2220 row 6,a,true,published-scan
IV,2220,9,51,printed,Sb,Table IV p.2220 row 9,unspecified,bare-symbol,91.7,1.1,10.49,0.14,,,0,10^6/s,false,0.916,printed,54,false,published-scan
IV,2220,10,51,Table IV p.2220 row 9,Sb,Table IV p.2220 row 9,unspecified,bare-symbol,94.1,1.7,10.21,0.20,,,0,10^6/s,false,0.916,Table IV p.2220 row 9,a,true,published-scan
IV,2220,11,52,printed,Te,Table IV p.2220 row 11,unspecified,bare-symbol,105.5,1.2,9.06,0.11,,,0,10^6/s,false,0.913,printed,49,false,published-scan
IV,2220,12,52,Table IV p.2220 row 11,Te,Table IV p.2220 row 11,unspecified,bare-symbol,103.2,1.0,9.27,0.10,,,0,10^6/s,false,0.913,Table IV p.2220 row 11,a,true,published-scan
IV,2220,13,53,printed,I,Table IV p.2220 row 13,unspecified,bare-symbol,86.1,0.7,11.20,0.11,,,0,10^6/s,false,0.910,printed,54,false,published-scan
IV,2220,14,53,Table IV p.2220 row 13,I,Table IV p.2220 row 13,unspecified,bare-symbol,83.4,1.5,11.58,0.22,,,0,10^6/s,false,0.910,Table IV p.2220 row 13,a,true,published-scan
IV,2220,15,55,printed,Cs,Table IV p.2220 row 15,unspecified,bare-symbol,87.8,1.9,10.98,0.25,,,0,10^6/s,false,0.905,printed,54,false,published-scan
IV,2220,16,56,printed,Ba,Table IV p.2220 row 16,unspecified,bare-symbol,94.5,0.7,10.18,0.10,,,0,10^6/s,false,0.902,printed,54,false,published-scan
IV,2220,17,56,Table IV p.2220 row 16,Ba,Table IV p.2220 row 16,unspecified,bare-symbol,96.6,1.5,9.94,0.16,,,0,10^6/s,false,0.902,Table IV p.2220 row 16,a,true,published-scan
IV,2220,18,57,printed,La,Table IV p.2220 row 18,unspecified,bare-symbol,89.9,0.7,10.71,0.10,,,0,10^6/s,false,0.901,printed,54,false,published-scan
IV,2220,19,58,printed,Ce,Table IV p.2220 row 19,unspecified,bare-symbol,84.4,0.7,11.44,0.11,,,0,10^6/s,false,0.899,printed,54,false,published-scan
IV,2220,20,58,Table IV p.2220 row 19,Ce,Table IV p.2220 row 19,unspecified,bare-symbol,83.3,1.0,11.60,0.14,,,0,10^6/s,false,0.899,Table IV p.2220 row 19,a,true,published-scan
IV,2220,21,59,printed,Pr,Table IV p.2220 row 21,unspecified,bare-symbol,72.1,0.6,13.45,0.13,,,0,10^6/s,false,0.897,printed,54,false,published-scan
IV,2220,22,60,printed,Nd,Table IV p.2220 row 22,unspecified,bare-symbol,78.5,0.8,12.32,0.14,,,0,10^6/s,false,0.895,printed,54,false,published-scan
IV,2220,23,60,Table IV p.2220 row 22,Nd,Table IV p.2220 row 22,unspecified,bare-symbol,77.5,2.0,12.50,0.33,,,0,10^6/s,false,0.895,Table IV p.2220 row 22,a,true,published-scan
IV,2220,24,62,printed,Sm,Table IV p.2220 row 24,unspecified,bare-symbol,79.2,1.0,12.22,0.17,,,0,10^6/s,false,0.890,printed,54,false,published-scan
IV,2220,25,64,printed,Gd,Table IV p.2220 row 25,unspecified,bare-symbol,80.1,1.0,12.09,0.16,,,0,10^6/s,false,0.885,printed,54,false,published-scan
IV,2220,26,64,Table IV p.2220 row 25,Gd,Table IV p.2220 row 25,unspecified,bare-symbol,81.8,1.5,11.82,0.22,,,0,10^6/s,false,0.885,Table IV p.2220 row 25,a,true,published-scan
IV,2220,27,65,printed,Th,Table IV p.2220 row 27,unspecified,bare-symbol,76.2,0.7,12.73,0.13,,,0,10^6/s,false,0.882,printed,54,false,published-scan
IV,2220,28,66,printed,Dy,Table IV p.2220 row 28,unspecified,bare-symbol,78.8,1.1,12.29,0.18,,,0,10^6/s,false,0.880,printed,a,true,published-scan
IV,2220,29,67,printed,Ho,Table IV p.2220 row 29,unspecified,bare-symbol,74.9,0.6,12.95,0.13,,,0,10^6/s,false,0.877,printed,54,false,published-scan
IV,2220,30,68,printed,Er,Table IV p.2220 row 30,unspecified,bare-symbol,74.4,1.5,13.04,0.27,,,0,10^6/s,false,0.875,printed,a,true,published-scan
IV,2220,31,72,printed,Hf,Table IV p.2220 row 31,unspecified,bare-symbol,74.5,1.3,13.03,0.21,,,0,10^6/s,false,0.865,printed,49,false,published-scan
IV,2220,32,73,printed,Ta,Table IV p.2220 row 32,unspecified,bare-symbol,75.5,0.6,12.86,0.13,,,0,10^6/s,false,0.862,printed,54,false,published-scan
IV,2220,33,74,printed,W,Table IV p.2220 row 33,unspecified,bare-symbol,81,2,11.92,0.30,,,0,10^6/s,false,0.860,printed,40,false,published-scan
IV,2220,34,74,Table IV p.2220 row 33,W,Table IV p.2220 row 33,unspecified,bare-symbol,72,3,13.5,0.6,,,0,10^6/s,false,0.860,Table IV p.2220 row 33,43,false,published-scan
IV,2220,35,74,Table IV p.2220 row 33,W,Table IV p.2220 row 33,unspecified,bare-symbol,74.3,1.2,13.07,0.21,,,0,10^6/s,false,0.860,Table IV p.2220 row 33,49,false,published-scan
IV,2220,36,74,Table IV p.2220 row 33,W,Table IV p.2220 row 33,unspecified,bare-symbol,78.4,1.5,12.36,0.24,,,0,10^6/s,false,0.860,Table IV p.2220 row 33,a,true,published-scan
IV,2220,37,79,printed,Au,Table IV p.2220 row 37,unspecified,bare-symbol,72.6,0.5,13.39,0.11,,,0,10^6/s,false,0.850,printed,54,false,published-scan
IV,2220,38,79,Table IV p.2220 row 37,Au,Table IV p.2220 row 37,unspecified,bare-symbol,74.3,1.5,13.07,0.28,,,0,10^6/s,false,0.850,Table IV p.2220 row 37,a,true,published-scan
IV,2220,39,80,printed,Hg,Table IV p.2220 row 39,unspecified,bare-symbol,76.2,1.5,12.74,0.26,,,0,10^6/s,false,0.848,printed,49,false,published-scan
IV,2220,40,80,Table IV p.2220 row 39,Hg,Table IV p.2220 row 39,unspecified,bare-symbol,76.2,1.5,12.74,0.26,,,0,10^6/s,false,0.848,Table IV p.2220 row 39,a,true,published-scan
IV,2220,41,81,printed,Tl,Table IV p.2220 row 41,unspecified,bare-symbol,75,4,12.90,0.75,,,0,10^6/s,false,0.846,printed,40,false,published-scan
IV,2220,42,81,Table IV p.2220 row 41,Tl,Table IV p.2220 row 41,unspecified,bare-symbol,70.3,0.9,13.83,0.20,,,0,10^6/s,false,0.846,Table IV p.2220 row 41,54,false,published-scan
IV,2220,43,81,Table IV p.2220 row 41,Tl,Table IV p.2220 row 41,unspecified,bare-symbol,70.0,1.5,13.90,0.31,,,0,10^6/s,false,0.846,Table IV p.2220 row 41,a,true,published-scan
IV,2220,44,82,printed,Pb,Table IV p.2220 row 44,unspecified,bare-symbol,82,5,11.70,0.75,,,0,10^6/s,false,0.844,printed,40,false,published-scan
IV,2220,45,82,Table IV p.2220 row 44,Pb,Table IV p.2220 row 44,unspecified,bare-symbol,67,3,14.5,0.7,,,0,10^6/s,false,0.844,Table IV p.2220 row 44,43,false,published-scan
IV,2220,46,82,Table IV p.2220 row 44,Pb,Table IV p.2220 row 44,unspecified,bare-symbol,74.9,0.4,12.98,0.10,,,0,10^6/s,false,0.844,Table IV p.2220 row 44,54,false,published-scan
IV,2220,47,82,Table IV p.2220 row 44,Pb,Table IV p.2220 row 44,unspecified,bare-symbol,73.2,1.2,13.27,0.22,,,0,10^6/s,false,0.844,Table IV p.2220 row 44,49,false,published-scan
IV,2220,48,82,Table IV p.2220 row 44,Pb,Table IV p.2220 row 44,unspecified,bare-symbol,75.4,1.0,13.45,0.18,,,0,10^6/s,false,0.844,Table IV p.2220 row 44,a,true,published-scan
IV,2220,49,82,Table IV p.2220 row 44,RPb^b,Table IV p.2220 row 49,enriched_mixture,R-prefix,71.5,0.4,13.61,0.10,,,0,10^6/s,false,,,54,false,published-scan
IV,2220,50,83,printed,Bi,Table IV p.2220 row 50,unspecified,bare-symbol,79,5,12.20,0.75,,,0,10^6/s,false,0.840,printed,40,false,published-scan
IV,2220,51,83,Table IV p.2220 row 50,Bi,Table IV p.2220 row 50,unspecified,bare-symbol,73.3,0.4,13.26,0.07,,,0,10^6/s,false,0.840,Table IV p.2220 row 50,54,false,published-scan
IV,2220,52,83,Table IV p.2220 row 50,Bi,Table IV p.2220 row 50,unspecified,bare-symbol,74.2,1.0,13.10,0.18,,,0,10^6/s,false,0.840,Table IV p.2220 row 50,a,true,published-scan
IV,2220,53,90,printed,232Th^c,Table IV p.2220 row 53,isotope,integer-mass-prefix,80.4,2.0,,,,,,10^6/s,false,0.824,printed,56e,false,published-scan
IV,2220,54,90,Table IV p.2220 row 53,232Th^c,Table IV p.2220 row 53,isotope,integer-mass-prefix,79.2,2.0,,,,,,10^6/s,false,0.824,Table IV p.2220 row 53,57e,false,published-scan
IV,2220,55,90,Table IV p.2220 row 53,232Th^c,Table IV p.2220 row 53,isotope,integer-mass-prefix,80.1,0.6,,,,,,10^6/s,false,0.824,Table IV p.2220 row 53,66n,false,published-scan
IV,2220,56,90,Table IV p.2220 row 53,232Th^c,Table IV p.2220 row 53,isotope,integer-mass-prefix,74.2,5.6,13.1,0.9,,,0,10^6/s,true,0.824,Table IV p.2220 row 53,61f,false,published-scan
IV,2220,57,90,Table IV p.2220 row 53,232Th^c,Table IV p.2220 row 53,isotope,integer-mass-prefix,87,4,11.1,0.6,,,0,10^6/s,true,0.824,Table IV p.2220 row 53,63f,false,published-scan
IV,2220,58,90,Table IV p.2220 row 53,232Th^c,Table IV p.2220 row 53,isotope,integer-mass-prefix,77.3,0.3,12.56,0.05,,,0,10^6/s,true,0.824,Table IV p.2220 row 53,67f,false,published-scan
IV,2220,59,90,Table IV p.2220 row 53,232Th^c,Table IV p.2220 row 53,isotope,integer-mass-prefix,84.0,4.5,11.5,0.6,,,0,10^6/s,true,0.824,Table IV p.2220 row 53,68f,false,published-scan
IV,2220,60,90,Table IV p.2220 row 53,232Th^c,Table IV p.2220 row 53,isotope,integer-mass-prefix,78.5,2.0,12.4,0.3,,,0,10^6/s,true,0.824,Table IV p.2220 row 53,71f,false,published-scan
IV,2221,3,92,printed,233U^c,Table IV p.2221 row 3,isotope,integer-mass-prefix,61.7,3.8,15.8,0.9,,,0,10^6/s,true,0.820,printed,62f,false,published-scan
IV,2221,4,92,Table IV p.2221 row 3,233U^c,Table IV p.2221 row 3,isotope,integer-mass-prefix,68.5,0.7,14.23,0.15,,,0,10^6/s,true,0.820,Table IV p.2221 row 3,71f,false,published-scan
IV,2221,5,92,Table IV p.2221 row 3,235U^c,Table IV p.2221 row 5,isotope,integer-mass-prefix,78,4,,,,,,10^6/s,false,,,56e,false,published-scan
IV,2221,6,92,Table IV p.2221 row 3,235U^c,Table IV p.2221 row 5,isotope,integer-mass-prefix,75.4,1.9,,,,,,10^6/s,false,,,57e,false,published-scan
IV,2221,7,92,Table IV p.2221 row 3,235U^c,Table IV p.2221 row 5,isotope,integer-mass-prefix,75.0,0.7,,,,,,10^6/s,false,,,66n,false,published-scan
IV,2221,8,92,Table IV p.2221 row 3,235U^c,Table IV p.2221 row 5,isotope,integer-mass-prefix,71,2,13.7,0.4,,,0,10^6/s,true,,,74Kgamma,false,published-scan
IV,2221,9,92,Table IV p.2221 row 3,235U^c,Table IV p.2221 row 5,isotope,integer-mass-prefix,65.3,2.8,14.9,0.6,,,0,10^6/s,true,,,62f,false,published-scan
IV,2221,10,92,Table IV p.2221 row 3,235U^c,Table IV p.2221 row 5,isotope,integer-mass-prefix,66.5,4.2,14.7,1.0,,,0,10^6/s,true,,,61f,false,published-scan
IV,2221,11,92,Table IV p.2221 row 3,235U^c,Table IV p.2221 row 5,isotope,integer-mass-prefix,75.6,2.3,12.9,0.4,,,0,10^6/s,true,,,63f,false,published-scan
IV,2221,12,92,Table IV p.2221 row 3,235U^c,Table IV p.2221 row 5,isotope,integer-mass-prefix,72.9,0.9,13.3,0.2,,,0,10^6/s,true,,,58f,false,published-scan
IV,2221,13,92,Table IV p.2221 row 3,235U^c,Table IV p.2221 row 5,isotope,integer-mass-prefix,72.8,0.6,13.36,0.12,,,0,10^6/s,true,,,71f,false,published-scan
IV,2221,14,92,Table IV p.2221 row 3,235U^c,Table IV p.2221 row 5,isotope,integer-mass-prefix,71.6,0.6,13.58,0.12,,,0,10^6/s,true,,,26f,false,published-scan
IV,2221,15,92,Table IV p.2221 row 3,236U^c,Table IV p.2221 row 15,isotope,integer-mass-prefix,70,2,13.9,0.4,,,0,10^6/s,true,,,74Kgamma,false,published-scan
IV,2221,16,92,Table IV p.2221 row 3,238U^c,Table IV p.2221 row 16,isotope,integer-mass-prefix,88,4,,,,,,10^6/s,false,,,40e,false,published-scan
IV,2221,17,92,Table IV p.2221 row 3,238U^c,Table IV p.2221 row 16,isotope,integer-mass-prefix,81.5,2.0,,,,,,10^6/s,false,,,56e,false,published-scan
IV,2221,18,92,Table IV p.2221 row 3,238U^c,Table IV p.2221 row 16,isotope,integer-mass-prefix,73.5,2.0,,,,,,10^6/s,false,,,57e,false,published-scan
IV,2221,19,92,Table IV p.2221 row 3,238U^c,Table IV p.2221 row 16,isotope,integer-mass-prefix,84.6,1.5,,,,,,10^6/s,false,,,"a,e",true,published-scan
IV,2221,20,92,Table IV p.2221 row 3,238U^c,Table IV p.2221 row 16,isotope,integer-mass-prefix,78.3,1.0,,,,,,10^6/s,false,,,66n,false,published-scan
IV,2221,21,92,Table IV p.2221 row 3,238U^c,Table IV p.2221 row 16,isotope,integer-mass-prefix,78.6,1.5,,,,,,10^6/s,false,,,69gamma,false,published-scan
IV,2221,22,92,Table IV p.2221 row 3,238U^c,Table IV p.2221 row 16,isotope,integer-mass-prefix,79.1,0.5,,,,,,10^6/s,false,,,70gamma,false,published-scan
IV,2221,23,92,Table IV p.2221 row 3,238U^c,Table IV p.2221 row 16,isotope,integer-mass-prefix,78,2,12.4,0.4,,,0,10^6/s,true,,,74Kgamma,false,published-scan
IV,2221,24,92,Table IV p.2221 row 3,238U^c,Table IV p.2221 row 16,isotope,integer-mass-prefix,74.1,2.8,13.1,0.5,,,0,10^6/s,true,,,62f,false,published-scan
IV,2221,25,92,Table IV p.2221 row 3,238U^c,Table IV p.2221 row 16,isotope,integer-mass-prefix,75.6,2.9,12.9,0.5,,,0,10^6/s,true,,,61f,false,published-scan
IV,2221,26,92,Table IV p.2221 row 3,238U^c,Table IV p.2221 row 16,isotope,integer-mass-prefix,76.0,1.0,12.8,0.2,,,0,10^6/s,true,,,63f,false,published-scan
IV,2221,27,92,Table IV p.2221 row 3,238U^c,Table IV p.2221 row 16,isotope,integer-mass-prefix,77.1,0.2,12.60,0.04,,,0,10^6/s,true,,,67f,false,published-scan
IV,2221,28,92,Table IV p.2221 row 3,238U^c,Table IV p.2221 row 16,isotope,integer-mass-prefix,77.9,0.5,12.46,0.09,,,0,10^6/s,true,,,58f,false,published-scan
IV,2221,29,92,Table IV p.2221 row 3,238U^c,Table IV p.2221 row 16,isotope,integer-mass-prefix,77.7,0.6,12.50,0.10,,,0,10^6/s,true,,,71f,false,published-scan
IV,2221,30,92,Table IV p.2221 row 3,238U^c,Table IV p.2221 row 16,isotope,integer-mass-prefix,78.0,2.0,12.4,0.4,,,0,10^6/s,true,,,72f,false,published-scan
IV,2221,31,92,Table IV p.2221 row 3,238U^c,Table IV p.2221 row 16,isotope,integer-mass-prefix,77.2,0.4,12.57,0.07,,,0,10^6/s,false,,,26f,false,published-scan
IV,2221,32,93,printed,237Np^c,Table IV p.2221 row 32,isotope,integer-mass-prefix,73.5,1.4,,,,,,10^6/s,false,0.818,printed,66n,false,published-scan
IV,2221,33,93,Table IV p.2221 row 32,237Np^c,Table IV p.2221 row 32,isotope,integer-mass-prefix,71.3,0.9,13.6,0.2,,,0,10^6/s,true,0.818,Table IV p.2221 row 32,58f,false,published-scan
IV,2221,34,93,Table IV p.2221 row 32,237Np^c,Table IV p.2221 row 32,isotope,integer-mass-prefix,72,2,13.5,0.4,,,0,10^6/s,true,0.818,Table IV p.2221 row 32,65f,false,published-scan
IV,2221,35,94,printed,239Pu^c,Table IV p.2221 row 35,isotope,integer-mass-prefix,77.5,2.0,,,,,,10^6/s,false,0.816,printed,56e,false,published-scan
IV,2221,36,94,Table IV p.2221 row 35,239Pu^c,Table IV p.2221 row 35,isotope,integer-mass-prefix,73.4,2.8,,,,,,10^6/s,false,0.816,Table IV p.2221 row 35,57e,false,published-scan
IV,2221,37,94,Table IV p.2221 row 35,239Pu^c,Table IV p.2221 row 35,isotope,integer-mass-prefix,74.5,0.5,,,,,,10^6/s,false,0.816,Table IV p.2221 row 35,66n,false,published-scan
IV,2221,38,94,Table IV p.2221 row 35,239Pu^c,Table IV p.2221 row 35,isotope,integer-mass-prefix,74,14,13.1,2.6,,,0,10^6/s,true,0.816,Table IV p.2221 row 35,64f,false,published-scan
IV,2221,39,94,Table IV p.2221 row 35,239Pu^c,Table IV p.2221 row 35,isotope,integer-mass-prefix,70,3,13.9,0.9,,,0,10^6/s,true,0.816,Table IV p.2221 row 35,65f,false,published-scan
IV,2221,40,94,Table IV p.2221 row 35,239Pu^c,Table IV p.2221 row 35,isotope,integer-mass-prefix,70.1,0.7,13.9,0.2,,,0,10^6/s,true,0.816,Table IV p.2221 row 35,58f,false,published-scan
IV,2221,41,94,Table IV p.2221 row 35,239Pu^c,Table IV p.2221 row 35,isotope,integer-mass-prefix,67,8,14.6,2.0,,,0,10^6/s,true,0.816,Table IV p.2221 row 35,75f,false,published-scan
IV,2221,42,94,Table IV p.2221 row 35,242Pu^c,Table IV p.2221 row 42,isotope,integer-mass-prefix,81.1,0.7,,,,,,10^6/s,false,,,66n,false,published-scan
IV,2221,43,94,Table IV p.2221 row 35,242Pu^c,Table IV p.2221 row 42,isotope,integer-mass-prefix,75.4,0.9,12.9,0.2,,,0,10^6/s,true,,,58f,false,published-scan
IV,2221,44,94,Table IV p.2221 row 35,242Pu^c,Table IV p.2221 row 42,isotope,integer-mass-prefix,79,5,12.3,0.8,,,0,10^6/s,true,,,65f,false,published-scan
