build,material,element_index,z,atom_density,isotope_n,isotope_abundance,isotope_at_half,count,draws
clean-v11.4.2,zscan-79,1,2,0x1.156c8dca8198bp+61,4,0x1p+0,4,25891,1048576
clean-v11.4.2,zscan-80,0,80,0x1.120359afe2a04p+61,240,0x1p+0,240,1023001,1048576
clean-v11.4.2,zscan-80,1,2,0x1.120359afe2a04p+61,4,0x1p+0,4,25575,1048576
clean-v11.4.2,zscan-81,0,81,0x1.0eaf5bb5010a2p+61,243,0x1p+0,243,1023309,1048576
clean-v11.4.2,zscan-81,1,2,0x1.0eaf5bb5010a2p+61,4,0x1p+0,4,25267,1048576
clean-v11.4.2,zscan-82,0,82,0x1.0b6fd05dd70bp+61,246,0x1p+0,246,1023610,1048576
clean-v11.4.2,zscan-82,1,2,0x1.0b6fd05dd70bp+61,4,0x1p+0,4,24966,1048576
clean-v11.4.2,zscan-83,0,83,0x1.0843fd740000cp+61,249,0x1p+0,249,1023904,1048576
clean-v11.4.2,zscan-83,1,2,0x1.0843fd740000bp+61,4,0x1p+0,4,24672,1048576
clean-v11.4.2,zscan-84,0,84,0x1.052b317ba400cp+61,252,0x1p+0,252,1024191,1048576
clean-v11.4.2,zscan-84,1,2,0x1.052b317ba400cp+61,4,0x1p+0,4,24385,1048576
clean-v11.4.2,zscan-85,0,85,0x1.0224c3320dd73p+61,255,0x1p+0,255,1012480,1048576
clean-v11.4.2,zscan-85,1,2,0x1.0224c3320dd73p+61,4,0x1p+0,4,36096,1048576
clean-v11.4.2,zscan-86,0,86,0x1.fe60222a4a43fp+60,258,0x1p+0,258,1024745,1048576
clean-v11.4.2,zscan-86,1,2,0x1.fe60222a4a43ep+60,4,0x1p+0,4,23831,1048576
clean-v11.4.2,zscan-87,0,87,0x1.f89901e6304edp+60,261,0x1p+0,261,1025012,1048576
clean-v11.4.2,zscan-87,1,2,0x1.f89901e6304ecp+60,4,0x1p+0,4,23564,1048576
clean-v11.4.2,zscan-88,0,88,0x1.f2f2ff032264dp+60,264,0x1p+0,264,1025274,1048576
clean-v11.4.2,zscan-88,1,2,0x1.f2f2ff032264bp+60,4,0x1p+0,4,23302,1048576
clean-v11.4.2,zscan-89,0,89,0x1.ed6cfff7c38c4p+60,267,0x1p+0,267,1025530,1048576
clean-v11.4.2,zscan-89,1,2,0x1.ed6cfff7c38c4p+60,4,0x1p+0,4,23046,1048576
clean-v11.4.2,zscan-90,0,90,0x1.e805f78f3631fp+60,270,0x1p+0,270,1025781,1048576
clean-v11.4.2,zscan-90,1,2,0x1.e805f78f3632p+60,4,0x1p+0,4,22795,1048576
clean-v11.4.2,zscan-91,0,91,0x1.e2bce43e2e36fp+60,273,0x1p+0,273,1026026,1048576
clean-v11.4.2,zscan-91,1,2,0x1.e2bce43e2e37p+60,4,0x1p+0,4,22550,1048576
clean-v11.4.2,zscan-92,0,92,0x1.dd90cf8300014p+60,276,0x1p+0,276,1026266,1048576
clean-v11.4.2,zscan-92,1,2,0x1.dd90cf8300015p+60,4,0x1p+0,4,22310,1048576
clean-v11.4.2,zscan-93,0,93,0x1.d880cd4fdbd25p+60,279,0x1p+0,279,1026501,1048576
clean-v11.4.2,zscan-93,1,2,0x1.d880cd4fdbd23p+60,4,0x1p+0,4,22075,1048576
clean-v11.4.2,zscan-94,0,94,0x1.d38bfb7e7628ap+60,282,0x1p+0,282,1026731,1048576
clean-v11.4.2,zscan-94,1,2,0x1.d38bfb7e7628bp+60,4,0x1p+0,4,21845,1048576
clean-v11.4.2,zscan-95,0,95,0x1.ceb1814c6dd89p+60,285,0x1p+0,285,1026956,1048576
clean-v11.4.2,zscan-95,1,2,0x1.ceb1814c6dd89p+60,4,0x1p+0,4,21620,1048576
clean-v11.4.2,zscan-96,0,96,0x1.c9f08edfcee8bp+60,288,0x1p+0,288,1027176,1048576
clean-v11.4.2,zscan-96,1,2,0x1.c9f08edfcee8bp+60,4,0x1p+0,4,21400,1048576
clean-v11.4.2,zscan-97,0,97,0x1.c5485cd31e60bp+60,291,0x1p+0,291,1027393,1048576
clean-v11.4.2,zscan-97,1,2,0x1.c5485cd31e60bp+60,4,0x1p+0,4,21183,1048576
clean-v11.4.2,zscan-98,0,98,0x1.c0b82bc867179p+60,294,0x1p+0,294,1027604,1048576
clean-v11.4.2,zscan-98,1,2,0x1.c0b82bc867179p+60,4,0x1p+0,4,20972,1048576
clean-v11.4.2,zscan-99,0,99,0x1.bc3f4402ca6c6p+60,297,0x1p+0,297,1027812,1048576
clean-v11.4.2,zscan-99,1,2,0x1.bc3f4402ca6c5p+60,4,0x1p+0,4,20764,1048576
clean-v11.4.2,zscan-100,0,100,0x1.b7dcf50621b06p+60,300,0x1p+0,300,1028016,1048576
clean-v11.4.2,zscan-100,1,2,0x1.b7dcf50621b05p+60,4,0x1p+0,4,20560,1048576
clean-v11.5.0.beta,G4_TEFLON,0,6,0x1.6fab8ea0a077ap+64,12;13,0x1.fa858793dd98p-1;0x1.5e9e1b089a028p-7,12,351871,1400447
clean-v11.5.0.beta,G4_TEFLON,1,9,0x1.6fab8ea0a077bp+65,19,0x1p+0,19,696705,1400447
clean-v11.5.0.beta,G4_LITHIUM_FLUORIDE,0,3,0x1.a8801578fc6c6p+65,6;7,0x1.36e2eb1c432cap-4;0x1.d923a29c779a7p-1,7,351871,1400447
clean-v11.5.0.beta,G4_LITHIUM_FLUORIDE,1,9,0x1.a8801578fc6c6p+65,19,0x1p+0,19,696705,1400447
clean-v11.5.0.beta,G4_POLYVINYL_CHLORIDE,0,6,0x1.5badfe6260f9fp+64,12;13,0x1.fa858793dd98p-1;0x1.5e9e1b089a028p-7,12,479897,2097152
clean-v11.5.0.beta,G4_POLYVINYL_CHLORIDE,1,1,0x1.04c27ec9c8bb7p+65,1;2,0x1.fff0ed3d859c9p-1;0x1.e2584f4c6e6dap-14,1,119975,2097152
clean-v11.5.0.beta,G4_POLYVINYL_CHLORIDE,2,17,0x1.5badfe6260f9ep+63,35;37,0x1.83fe5c91d14e4p-1;0x1.f0068db8bac71p-3,35,448704,2097152
clean-v11.5.0.beta,G4_SODIUM_IODIDE,0,11,0x1.98e91dd98a387p+63,23,0x1p+0,23,250856,1048576
clean-v11.5.0.beta,G4_SODIUM_IODIDE,1,53,0x1.98e91dd98a386p+63,127,0x1p+0,127,797720,1048576
clean-v11.5.0.beta,G4_WATER,0,1,0x1.cfe806fff01a1p+65,1;2,0x1.fff0ed3d859c9p-1;0x1.e2584f4c6e6dap-14,1,323635,2097152
clean-v11.5.0.beta,G4_WATER,1,8,0x1.cfe806fff01ap+64,16;17;18,0x1.fec17ebaf1023p-1;0x1.8e757928e0c9dp-12;0x1.0cb295e9e1b08p-9,16,724941,2097152
clean-v11.5.0.beta,G4_POLYETHYLENE,0,6,0x1.1809930eeee27p+65,12;13,0x1.fa858793dd98p-1;0x1.5e9e1b089a028p-7,12,786432,2097152
clean-v11.5.0.beta,G4_POLYETHYLENE,1,1,0x1.1809930eeee27p+66,1;2,0x1.fff0ed3d859c9p-1;0x1.e2584f4c6e6dap-14,1,262144,2097152
clean-v11.5.0.beta,G4_SILICON_DIOXIDE,0,14,0x1.42b341c0a8e87p+64,28;29;30,0x1.d8373105ef51dp-1;0x1.7fa5b96877509p-5;0x1.f9ce6c7127254p-6,28,639376,2097152
clean-v11.5.0.beta,G4_SILICON_DIOXIDE,1,8,0x1.42b341c0a8e87p+65,16;17;18,0x1.fec17ebaf1023p-1;0x1.8e757928e0c9dp-12;0x1.0cb295e9e1b08p-9,16,409200,2097152
clean-v11.5.0.beta,zscan-1,0,1,0x1.2a7a81b1e000dp+66,3,0x1p+0,3,349525,1048576
clean-v11.5.0.beta,zscan-1,1,2,0x1.2a7a81b1e000dp+66,4,0x1p+0,4,699051,1048576
clean-v11.5.0.beta,zscan-2,0,2,0x1.41703ce6f13c1p+64,6,0x1p+0,6,174763,1048576
clean-v11.5.0.beta,zscan-2,1,10,0x1.41703ce6f13c1p+64,20,0x1p+0,20,873813,1048576
clean-v11.5.0.beta,zscan-3,0,3,0x1.41703ce6f13bfp+65,9,0x1p+0,9,629146,1048576
clean-v11.5.0.beta,zscan-3,1,2,0x1.41703ce6f13bfp+65,4,0x1p+0,4,419430,1048576
clean-v11.5.0.beta,zscan-4,0,4,0x1.052b317ba400bp+65,12,0x1p+0,12,699051,1048576
clean-v11.5.0.beta,zscan-4,1,2,0x1.052b317ba400cp+65,4,0x1p+0,4,349525,1048576
clean-v11.5.0.beta,zscan-5,0,5,0x1.b7dcf50621b06p+64,15,0x1p+0,15,748983,1048576
clean-v11.5.0.beta,zscan-5,1,2,0x1.b7dcf50621b07p+64,4,0x1p+0,4,299593,1048576
clean-v11.5.0.beta,zscan-6,0,6,0x1.7be1bc56c0011p+64,18,0x1p+0,18,786432,1048576
clean-v11.5.0.beta,zscan-6,1,2,0x1.7be1bc56c0011p+64,4,0x1p+0,4,262144,1048576
clean-v11.5.0.beta,zscan-7,0,7,0x1.4e4bc4754ccdcp+64,21,0x1p+0,21,815559,1048576
clean-v11.5.0.beta,zscan-7,1,2,0x1.4e4bc4754ccdcp+64,4,0x1p+0,4,233017,1048576
clean-v11.5.0.beta,zscan-8,0,8,0x1.2a7a81b1e000dp+64,24,0x1p+0,24,724941,1048576
clean-v11.5.0.beta,zscan-8,1,2,0x1.2a7a81b1e000dp+64,4,0x1p+0,4,323635,1048576
clean-v11.5.0.beta,zscan-9,0,9,0x1.0d97f103c2114p+64,27,0x1p+0,27,784451,1048576
clean-v11.5.0.beta,zscan-9,1,2,0x1.0d97f103c2115p+64,4,0x1p+0,4,264125,1048576
clean-v11.5.0.beta,zscan-10,0,10,0x1.eb9c996134b62p+63,30,0x1p+0,30,873813,1048576
clean-v11.5.0.beta,zscan-10,1,2,0x1.eb9c996134b61p+63,4,0x1p+0,4,174763,1048576
clean-v11.5.0.beta,zscan-11,0,11,0x1.c3c055979838bp+63,33,0x1p+0,33,887257,1048576
clean-v11.5.0.beta,zscan-11,1,2,0x1.c3c055979838bp+63,4,0x1p+0,4,161319,1048576
clean-v11.5.0.beta,zscan-12,0,12,0x1.a1deb592a0012p+63,36,0x1p+0,36,898779,1048576
clean-v11.5.0.beta,zscan-12,1,2,0x1.a1deb592a0013p+63,4,0x1p+0,4,149797,1048576
clean-v11.5.0.beta,zscan-13,0,13,0x1.84b75b82711eep+63,39,0x1p+0,39,908766,1048576
clean-v11.5.0.beta,zscan-13,1,2,0x1.84b75b82711eep+63,4,0x1p+0,4,139810,1048576
clean-v11.5.0.beta,zscan-14,0,14,0x1.6b5d7c7f8001p+63,42,0x1p+0,42,917504,1048576
clean-v11.5.0.beta,zscan-14,1,2,0x1.6b5d7c7f8001p+63,4,0x1p+0,4,131072,1048576
clean-v11.5.0.beta,zscan-15,0,15,0x1.551e4b146db7dp+63,45,0x1p+0,45,925214,1048576
clean-v11.5.0.beta,zscan-15,1,2,0x1.551e4b146db7dp+63,4,0x1p+0,4,123362,1048576
clean-v11.5.0.beta,zscan-16,0,16,0x1.41703ce6f13bfp+63,48,0x1p+0,48,932068,1048576
clean-v11.5.0.beta,zscan-16,1,2,0x1.41703ce6f13bfp+63,4,0x1p+0,4,116508,1048576
clean-v11.5.0.beta,zscan-17,0,17,0x1.2fe7c9df0000dp+63,51,0x1p+0,51,889941,1048576
clean-v11.5.0.beta,zscan-17,1,2,0x1.2fe7c9df0000dp+63,4,0x1p+0,4,158635,1048576
clean-v11.5.0.beta,zscan-18,0,18,0x1.202fa95c4b09ap+63,54,0x1p+0,54,943718,1048576
clean-v11.5.0.beta,zscan-18,1,2,0x1.202fa95c4b09ap+63,4,0x1p+0,4,104858,1048576
clean-v11.5.0.beta,zscan-19,0,19,0x1.120359afe2a04p+63,57,0x1p+0,57,948712,1048576
clean-v11.5.0.beta,zscan-19,1,2,0x1.120359afe2a04p+63,4,0x1p+0,4,99864,1048576
clean-v11.5.0.beta,zscan-20,0,20,0x1.052b317ba400cp+63,60,0x1p+0,60,953251,1048576
clean-v11.5.0.beta,zscan-20,1,2,0x1.052b317ba400cp+63,4,0x1p+0,4,95325,1048576
clean-v11.5.0.beta,zscan-21,0,21,0x1.f2f2ff032264cp+62,63,0x1p+0,63,957395,1048576
clean-v11.5.0.beta,zscan-21,1,2,0x1.f2f2ff032264bp+62,4,0x1p+0,4,91181,1048576
clean-v11.5.0.beta,zscan-22,0,22,0x1.dd90cf8300016p+62,66,0x1p+0,66,961195,1048576
clean-v11.5.0.beta,zscan-22,1,2,0x1.dd90cf8300016p+62,4,0x1p+0,4,87381,1048576
clean-v11.5.0.beta,zscan-23,0,23,0x1.c9f08edfcee8bp+62,69,0x1p+0,69,964690,1048576
clean-v11.5.0.beta,zscan-23,1,2,0x1.c9f08edfcee8bp+62,4,0x1p+0,4,83886,1048576
clean-v11.5.0.beta,zscan-24,0,24,0x1.b7dcf50621b05p+62,72,0x1p+0,72,967916,1048576
clean-v11.5.0.beta,zscan-24,1,2,0x1.b7dcf50621b05p+62,4,0x1p+0,4,80660,1048576
clean-v11.5.0.beta,zscan-25,0,25,0x1.a728d1cb91d3cp+62,75,0x1p+0,75,970904,1048576
clean-v11.5.0.beta,zscan-25,1,2,0x1.a728d1cb91d3ep+62,4,0x1p+0,4,77672,1048576
clean-v11.5.0.beta,zscan-26,0,26,0x1.97ad91ecb513dp+62,78,0x1p+0,78,973678,1048576
clean-v11.5.0.beta,zscan-26,1,2,0x1.97ad91ecb513dp+62,4,0x1p+0,4,74898,1048576
clean-v11.5.0.beta,zscan-27,0,27,0x1.894a144dc3c4ep+62,81,0x1p+0,81,976260,1048576
clean-v11.5.0.beta,zscan-27,1,2,0x1.894a144dc3c4dp+62,4,0x1p+0,4,72316,1048576
clean-v11.5.0.beta,zscan-28,0,28,0x1.7be1bc56c0011p+62,84,0x1p+0,84,978671,1048576
clean-v11.5.0.beta,zscan-28,1,2,0x1.7be1bc56c0011p+62,4,0x1p+0,4,69905,1048576
clean-v11.5.0.beta,zscan-29,0,29,0x1.6f5bb35113b24p+62,87,0x1p+0,87,980926,1048576
clean-v11.5.0.beta,zscan-29,1,2,0x1.6f5bb35113b24p+62,4,0x1p+0,4,67650,1048576
clean-v11.5.0.beta,zscan-30,0,30,0x1.63a24e4651b4cp+62,90,0x1p+0,90,983040,1048576
clean-v11.5.0.beta,zscan-30,1,2,0x1.63a24e4651b4cp+62,4,0x1p+0,4,65536,1048576
clean-v11.5.0.beta,zscan-31,0,31,0x1.58a29078ed879p+62,93,0x1p+0,93,985026,1048576
clean-v11.5.0.beta,zscan-31,1,2,0x1.58a29078ed879p+62,4,0x1p+0,4,63550,1048576
clean-v11.5.0.beta,zscan-32,0,32,0x1.4e4bc4754ccdcp+62,96,0x1p+0,96,986895,1048576
clean-v11.5.0.beta,zscan-32,1,2,0x1.4e4bc4754ccdcp+62,4,0x1p+0,4,61681,1048576
clean-v11.5.0.beta,zscan-33,0,33,0x1.448f271fdd353p+62,99,0x1p+0,99,988657,1048576
clean-v11.5.0.beta,zscan-33,1,2,0x1.448f271fdd352p+62,4,0x1p+0,4,59919,1048576
clean-v11.5.0.beta,zscan-34,0,34,0x1.3b5fa12fde313p+62,102,0x1p+0,102,990322,1048576
clean-v11.5.0.beta,zscan-34,1,2,0x1.3b5fa12fde314p+62,4,0x1p+0,4,58254,1048576
clean-v11.5.0.beta,zscan-35,0,35,0x1.32b18c4f6e638p+62,105,0x1p+0,105,965024,1048576
clean-v11.5.0.beta,zscan-35,1,2,0x1.32b18c4f6e638p+62,4,0x1p+0,4,83552,1048576
clean-v11.5.0.beta,zscan-36,0,36,0x1.2a7a81b1e000ep+62,108,0x1p+0,108,993388,1048576
clean-v11.5.0.beta,zscan-36,1,2,0x1.2a7a81b1e000ep+62,4,0x1p+0,4,55188,1048576
clean-v11.5.0.beta,zscan-37,0,37,0x1.22b130660000ep+62,111,0x1p+0,111,994803,1048576
clean-v11.5.0.beta,zscan-37,1,2,0x1.22b130660000dp+62,4,0x1p+0,4,53773,1048576
clean-v11.5.0.beta,zscan-38,0,38,0x1.1b4d3a03f2fc8p+62,114,0x1p+0,114,996147,1048576
clean-v11.5.0.beta,zscan-38,1,2,0x1.1b4d3a03f2fc7p+62,4,0x1p+0,4,52429,1048576
clean-v11.5.0.beta,zscan-39,0,39,0x1.1447149c2e8c7p+62,117,0x1p+0,117,997426,1048576
clean-v11.5.0.beta,zscan-39,1,2,0x1.1447149c2e8c7p+62,4,0x1p+0,4,51150,1048576
clean-v11.5.0.beta,zscan-40,0,40,0x1.0d97f103c2114p+62,120,0x1p+0,120,998644,1048576
clean-v11.5.0.beta,zscan-40,1,2,0x1.0d97f103c2115p+62,4,0x1p+0,4,49932,1048576
clean-v11.5.0.beta,zscan-41,0,41,0x1.0739a4c52e5d8p+62,123,0x1p+0,123,999805,1048576
clean-v11.5.0.beta,zscan-41,1,2,0x1.0739a4c52e5d8p+62,4,0x1p+0,4,48771,1048576
clean-v11.5.0.beta,zscan-42,0,42,0x1.0126971f27634p+62,126,0x1p+0,126,1000913,1048576
clean-v11.5.0.beta,zscan-42,1,2,0x1.0126971f27634p+62,4,0x1p+0,4,47663,1048576
clean-v11.5.0.beta,zscan-43,0,43,0x1.f6b3612b94376p+61,129,0x1p+0,129,1001973,1048576
clean-v11.5.0.beta,zscan-43,1,2,0x1.f6b3612b94377p+61,4,0x1p+0,4,46603,1048576
clean-v11.5.0.beta,zscan-44,0,44,0x1.eb9c996134b63p+61,132,0x1p+0,132,1002986,1048576
clean-v11.5.0.beta,zscan-44,1,2,0x1.eb9c996134b62p+61,4,0x1p+0,4,45590,1048576
clean-v11.5.0.beta,zscan-45,0,45,0x1.e1005b2254b9ap+61,135,0x1p+0,135,1003956,1048576
clean-v11.5.0.beta,zscan-45,1,2,0x1.e1005b2254b9ap+61,4,0x1p+0,4,44620,1048576
clean-v11.5.0.beta,zscan-46,0,46,0x1.d6d6e2390ad27p+61,138,0x1p+0,138,1004885,1048576
clean-v11.5.0.beta,zscan-46,1,2,0x1.d6d6e2390ad27p+61,4,0x1p+0,4,43691,1048576
clean-v11.5.0.beta,zscan-47,0,47,0x1.cd190efa11a9p+61,141,0x1p+0,141,1005777,1048576
clean-v11.5.0.beta,zscan-47,1,2,0x1.cd190efa11a9p+61,4,0x1p+0,4,42799,1048576
clean-v11.5.0.beta,zscan-48,0,48,0x1.c3c055979838ap+61,144,0x1p+0,144,1006633,1048576
clean-v11.5.0.beta,zscan-48,1,2,0x1.c3c055979838bp+61,4,0x1p+0,4,41943,1048576
clean-v11.5.0.beta,zscan-49,0,49,0x1.bac6af70faeb4p+61,147,0x1p+0,147,1007455,1048576
clean-v11.5.0.beta,zscan-49,1,2,0x1.bac6af70faeb4p+61,4,0x1p+0,4,41121,1048576
clean-v11.5.0.beta,zscan-50,0,50,0x1.b2268e1a00015p+61,150,0x1p+0,150,1008246,1048576
clean-v11.5.0.beta,zscan-50,1,2,0x1.b2268e1a00014p+61,4,0x1p+0,4,40330,1048576
clean-v11.5.0.beta,zscan-51,0,51,0x1.a9dacfdecd74fp+61,153,0x1p+0,153,1009007,1048576
clean-v11.5.0.beta,zscan-51,1,2,0x1.a9dacfdecd74fp+61,4,0x1p+0,4,39569,1048576
clean-v11.5.0.beta,zscan-52,0,52,0x1.a1deb592a0013p+61,156,0x1p+0,156,1009740,1048576
clean-v11.5.0.beta,zscan-52,1,2,0x1.a1deb592a0013p+61,4,0x1p+0,4,38836,1048576
clean-v11.5.0.beta,zscan-53,0,53,0x1.9a2dd97ea67bbp+61,159,0x1p+0,159,991866,1048576
clean-v11.5.0.beta,zscan-53,1,2,0x1.9a2dd97ea67bbp+61,4,0x1p+0,4,56710,1048576
clean-v11.5.0.beta,zscan-54,0,54,0x1.92c4274c8de25p+61,162,0x1p+0,162,1011127,1048576
clean-v11.5.0.beta,zscan-54,1,2,0x1.92c4274c8de24p+61,4,0x1p+0,4,37449,1048576
clean-v11.5.0.beta,zscan-55,0,55,0x1.8b9dd4cd77ac6p+61,165,0x1p+0,165,1011784,1048576
clean-v11.5.0.beta,zscan-55,1,2,0x1.8b9dd4cd77ac6p+61,4,0x1p+0,4,36792,1048576
clean-v11.5.0.beta,zscan-56,0,56,0x1.84b75b82711eep+61,168,0x1p+0,168,1012418,1048576
clean-v11.5.0.beta,zscan-56,1,2,0x1.84b75b82711eep+61,4,0x1p+0,4,36158,1048576
clean-v11.5.0.beta,zscan-57,0,57,0x1.7e0d72cf33345p+61,171,0x1p+0,171,1013031,1048576
clean-v11.5.0.beta,zscan-57,1,2,0x1.7e0d72cf33344p+61,4,0x1p+0,4,35545,1048576
clean-v11.5.0.beta,zscan-58,0,58,0x1.779d0ac31423ap+61,174,0x1p+0,174,1013623,1048576
clean-v11.5.0.beta,zscan-58,1,2,0x1.779d0ac31423ap+61,4,0x1p+0,4,34953,1048576
clean-v11.5.0.beta,zscan-59,0,59,0x1.71634766bd877p+61,177,0x1p+0,177,1014196,1048576
clean-v11.5.0.beta,zscan-59,1,2,0x1.71634766bd877p+61,4,0x1p+0,4,34380,1048576
clean-v11.5.0.beta,zscan-60,0,60,0x1.6b5d7c7f80011p+61,180,0x1p+0,180,1014751,1048576
clean-v11.5.0.beta,zscan-60,1,2,0x1.6b5d7c7f80012p+61,4,0x1p+0,4,33825,1048576
clean-v11.5.0.beta,zscan-61,0,61,0x1.658929bb0f102p+61,183,0x1p+0,183,1015288,1048576
clean-v11.5.0.beta,zscan-61,1,2,0x1.658929bb0f102p+61,4,0x1p+0,4,33288,1048576
clean-v11.5.0.beta,zscan-62,0,62,0x1.5fe3f7381af39p+61,186,0x1p+0,186,1015808,1048576
clean-v11.5.0.beta,zscan-62,1,2,0x1.5fe3f7381af39p+61,4,0x1p+0,4,32768,1048576
clean-v11.5.0.beta,zscan-63,0,63,0x1.5a6bb261adc4p+61,189,0x1p+0,189,1016312,1048576
clean-v11.5.0.beta,zscan-63,1,2,0x1.5a6bb261adc4p+61,4,0x1p+0,4,32264,1048576
clean-v11.5.0.beta,zscan-64,0,64,0x1.551e4b146db7cp+61,192,0x1p+0,192,1016801,1048576
clean-v11.5.0.beta,zscan-64,1,2,0x1.551e4b146db7dp+61,4,0x1p+0,4,31775,1048576
clean-v11.5.0.beta,zscan-65,0,65,0x1.4ff9d105f848fp+61,195,0x1p+0,195,1017275,1048576
clean-v11.5.0.beta,zscan-65,1,2,0x1.4ff9d105f848fp+61,4,0x1p+0,4,31301,1048576
clean-v11.5.0.beta,zscan-66,0,66,0x1.4afc71677721ep+61,198,0x1p+0,198,1017736,1048576
clean-v11.5.0.beta,zscan-66,1,2,0x1.4afc71677721dp+61,4,0x1p+0,4,30840,1048576
clean-v11.5.0.beta,zscan-67,0,67,0x1.462474bd5da98p+61,201,0x1p+0,201,1018182,1048576
clean-v11.5.0.beta,zscan-67,1,2,0x1.462474bd5da97p+61,4,0x1p+0,4,30394,1048576
clean-v11.5.0.beta,zscan-68,0,68,0x1.41703ce6f13cp+61,204,0x1p+0,204,1018617,1048576
clean-v11.5.0.beta,zscan-68,1,2,0x1.41703ce6f13bfp+61,4,0x1p+0,4,29959,1048576
clean-v11.5.0.beta,zscan-69,0,69,0x1.3cde4350da645p+61,207,0x1p+0,207,1019039,1048576
clean-v11.5.0.beta,zscan-69,1,2,0x1.3cde4350da646p+61,4,0x1p+0,4,29537,1048576
clean-v11.5.0.beta,zscan-70,0,70,0x1.386d174e85fcp+61,210,0x1p+0,210,1019449,1048576
clean-v11.5.0.beta,zscan-70,1,2,0x1.386d174e85fc1p+61,4,0x1p+0,4,29127,1048576
clean-v11.5.0.beta,zscan-71,0,71,0x1.341b5c9694a61p+61,213,0x1p+0,213,1019848,1048576
clean-v11.5.0.beta,zscan-71,1,2,0x1.341b5c9694a61p+61,4,0x1p+0,4,28728,1048576
clean-v11.5.0.beta,zscan-72,0,72,0x1.2fe7c9df0000ep+61,216,0x1p+0,216,1020236,1048576
clean-v11.5.0.beta,zscan-72,1,2,0x1.2fe7c9df0000dp+61,4,0x1p+0,4,28340,1048576
clean-v11.5.0.beta,zscan-73,0,73,0x1.2bd12795f91d9p+61,219,0x1p+0,219,1020614,1048576
clean-v11.5.0.beta,zscan-73,1,2,0x1.2bd12795f91d9p+61,4,0x1p+0,4,27962,1048576
clean-v11.5.0.beta,zscan-74,0,74,0x1.27d64eb4d4f58p+61,222,0x1p+0,222,1020982,1048576
clean-v11.5.0.beta,zscan-74,1,2,0x1.27d64eb4d4f58p+61,4,0x1p+0,4,27594,1048576
clean-v11.5.0.beta,zscan-75,0,75,0x1.23f627aaa337ap+61,225,0x1p+0,225,1021340,1048576
clean-v11.5.0.beta,zscan-75,1,2,0x1.23f627aaa337ap+61,4,0x1p+0,4,27236,1048576
clean-v11.5.0.beta,zscan-76,0,76,0x1.202fa95c4b09ap+61,228,0x1p+0,228,1021689,1048576
clean-v11.5.0.beta,zscan-76,1,2,0x1.202fa95c4b09ap+61,4,0x1p+0,4,26887,1048576
clean-v11.5.0.beta,zscan-77,0,77,0x1.1c81d838415d6p+61,231,0x1p+0,231,1022030,1048576
clean-v11.5.0.beta,zscan-77,1,2,0x1.1c81d838415d6p+61,4,0x1p+0,4,26546,1048576
clean-v11.5.0.beta,zscan-78,0,78,0x1.18ebc55c1e1efp+61,234,0x1p+0,234,1022362,1048576
clean-v11.5.0.beta,zscan-78,1,2,0x1.18ebc55c1e1eep+61,4,0x1p+0,4,26214,1048576
clean-v11.5.0.beta,zscan-79,0,79,0x1.156c8dca8198ap+61,237,0x1p+0,237,1022685,1048576
clean-v11.5.0.beta,zscan-79,1,2,0x1.156c8dca8198bp+61,4,0x1p+0,4,25891,1048576
clean-v11.5.0.beta,zscan-80,0,80,0x1.120359afe2a04p+61,240,0x1p+0,240,1023001,1048576
clean-v11.5.0.beta,zscan-80,1,2,0x1.120359afe2a04p+61,4,0x1p+0,4,25575,1048576
clean-v11.5.0.beta,zscan-81,0,81,0x1.0eaf5bb5010a2p+61,243,0x1p+0,243,1023309,1048576
clean-v11.5.0.beta,zscan-81,1,2,0x1.0eaf5bb5010a2p+61,4,0x1p+0,4,25267,1048576
clean-v11.5.0.beta,zscan-82,0,82,0x1.0b6fd05dd70bp+61,246,0x1p+0,246,1023610,1048576
clean-v11.5.0.beta,zscan-82,1,2,0x1.0b6fd05dd70bp+61,4,0x1p+0,4,24966,1048576
clean-v11.5.0.beta,zscan-83,0,83,0x1.0843fd740000cp+61,249,0x1p+0,249,1023904,1048576
clean-v11.5.0.beta,zscan-83,1,2,0x1.0843fd740000bp+61,4,0x1p+0,4,24672,1048576
clean-v11.5.0.beta,zscan-84,0,84,0x1.052b317ba400cp+61,252,0x1p+0,252,1024191,1048576
clean-v11.5.0.beta,zscan-84,1,2,0x1.052b317ba400cp+61,4,0x1p+0,4,24385,1048576
clean-v11.5.0.beta,zscan-85,0,85,0x1.0224c3320dd73p+61,255,0x1p+0,255,1012480,1048576
clean-v11.5.0.beta,zscan-85,1,2,0x1.0224c3320dd73p+61,4,0x1p+0,4,36096,1048576
clean-v11.5.0.beta,zscan-86,0,86,0x1.fe60222a4a43fp+60,258,0x1p+0,258,1024745,1048576
clean-v11.5.0.beta,zscan-86,1,2,0x1.fe60222a4a43ep+60,4,0x1p+0,4,23831,1048576
clean-v11.5.0.beta,zscan-87,0,87,0x1.f89901e6304edp+60,261,0x1p+0,261,1025012,1048576
clean-v11.5.0.beta,zscan-87,1,2,0x1.f89901e6304ecp+60,4,0x1p+0,4,23564,1048576
clean-v11.5.0.beta,zscan-88,0,88,0x1.f2f2ff032264dp+60,264,0x1p+0,264,1025274,1048576
clean-v11.5.0.beta,zscan-88,1,2,0x1.f2f2ff032264bp+60,4,0x1p+0,4,23302,1048576
